Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,512,1,20,decoding,0.6592965910758928,583.0124902537631,325.2739586254356,319.1666877925645
Llama2-13B,20,512,1,20,end2end,0.862097854767857,595.0493114877384,325.0303597763263,326.3820459653154
Llama2-13B,20,512,1,20,prefill,0.2028012636919642,631.1597751896643,324.29956322899847,348.0281204835681
Llama2-13B,20,512,2,10,decoding,0.6740396432187499,1140.4722848008769,185.3310696513689,347.45792720674785
Llama2-13B,20,512,2,10,end2end,0.8817552576250001,1163.467786010428,185.09253864593865,354.72286689092334
Llama2-13B,20,512,2,10,prefill,0.2077156144062499,1232.4542896390806,184.3769456296478,376.51768594344975
Llama2-13B,20,512,4,5,decoding,0.7823628714017857,1964.6558058404128,156.6045034189194,458.73308972061017
Llama2-13B,20,512,4,5,end2end,1.0261862285357142,1998.4620684918789,156.36850633532865,465.86325153564593
Llama2-13B,20,512,4,5,prefill,0.2438233571339285,2099.880856446275,155.66051508455638,487.2537369807534
Llama2-13B,20,512,5,4,decoding,0.8601650102321428,2233.420543544517,159.7570862879741,509.0985120693504
Llama2-13B,20,512,5,4,end2end,1.129922413642857,2268.190927021409,159.52159598875124,515.8478010689672
Llama2-13B,20,512,5,4,prefill,0.2697574034107143,2372.502077452086,158.81512509108265,536.0956680678179
Llama2-13B,20,512,10,2,decoding,1.0994928663526784,3493.7549138957984,135.5685431791053,612.3812620274354
Llama2-13B,20,512,10,2,end2end,1.4490262218035714,3535.822516962668,135.33406644861822,617.6197929189567
Llama2-13B,20,512,10,2,prefill,0.3495333554508928,3662.025326163275,134.63063625715705,633.3353855935205
Llama2-13B,20,512,20,1,decoding,1.6255099749017858,4725.435719681776,127.83799811515772,706.6611551911207
Llama2-13B,20,512,20,1,end2end,2.150382366535715,4763.420786894956,127.64122302487804,709.9648416242869
Llama2-13B,20,512,20,1,prefill,0.5248723916339286,4877.375988534501,127.05089775403898,719.8759009237856
Llama2-13B,20,512,40,1,decoding,2.892103855508929,5312.983693840174,123.28926234992076,716.3373045599602
Llama2-13B,20,512,40,1,end2end,3.815057300678572,5371.589953119132,122.94153337138196,720.4876729832306
Llama2-13B,20,512,40,1,prefill,0.922953445169643,5547.408730956004,121.8983464357655,732.9387782530417
Llama2-13B,20,1024,1,20,decoding,1.6582008458437498,543.1766565905693,326.24870017831137,295.7449195050684
Llama2-13B,20,1024,1,20,end2end,1.8610021095357143,554.1745464154562,326.00505805964724,302.2803196273809
Llama2-13B,20,1024,1,20,prefill,0.2028012636919642,631.1597751896643,324.29956322899847,348.0281204835681
Llama2-13B,20,1024,2,10,decoding,1.6926013008437502,1064.0490154666857,186.2855398295287,323.6391847549011
