Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,128,1,20,prefill,0.2028012636919642,631.1597751896643,324.29956322899847,348.0281204835681
Llama2-13B,20,128,2,10,prefill,0.2077156144062499,1232.4542896390806,184.3769456296478,376.51768594344975
Llama2-13B,20,128,4,5,prefill,0.2438233571339285,2099.880856446275,155.66051508455638,487.2537369807534
Llama2-13B,20,128,5,4,prefill,0.2697574034107143,2372.502077452086,158.81512509108265,536.0956680678179
Llama2-13B,20,128,10,2,prefill,0.3495333554508928,3662.025326163275,134.63063625715705,633.3353855935205
Llama2-13B,20,128,20,1,prefill,0.5248723916339286,4877.375988534501,127.05089775403898,719.8759009237856
Llama2-13B,20,128,40,1,prefill,0.922953445169643,5547.408730956004,121.8983464357655,732.9387782530417
Llama2-13B,20,256,1,20,prefill,0.4141529273839285,618.3927393227333,324.5432318555788,340.29516265733923
Llama2-13B,20,256,2,10,prefill,0.4239816288124999,1208.0908287710809,184.6155464125491,368.7487443518049
Llama2-13B,20,256,4,5,prefill,0.4961971142678571,2064.308969973488,155.8965819456181,479.7157330612866
Llama2-13B,20,256,5,4,prefill,0.5480652068214286,2336.057102653608,159.05068516777652,528.9982888845504
Llama2-13B,20,256,10,2,prefill,0.7076171109017857,3618.304016731912,134.8651827651151,627.8799470585409
Llama2-13B,20,256,20,1,prefill,1.058295183267857,4838.285499426767,127.28493747762911,716.6743047427052
Llama2-13B,20,256,40,1,prefill,1.862656970339286,5497.9678501104,122.09516661247544,729.383776046459
Llama2-13B,20,384,1,20,prefill,0.6338629910758927,606.4571486765143,324.78676855899204,333.17042073913166
Llama2-13B,20,384,2,10,prefill,0.6486060432187499,1185.2872895047549,184.8540152722834,361.57608736614367
Llama2-13B,20,384,4,5,prefill,0.7569292714017857,2030.772982927809,156.1325168835129,472.6742980521635
Llama2-13B,20,384,5,4,prefill,0.8347314102321427,2301.5586508940937,159.28611332130342,522.33239822904
Llama2-13B,20,384,10,2,prefill,1.074059266352679,3576.5519763938414,135.0995973499062,622.7092215617877
Llama2-13B,20,384,20,1,prefill,1.600076374901786,4800.575267392721,127.37006585469446,712.8000945699409
Llama2-13B,20,384,40,1,prefill,2.830482095508929,5428.715868706381,122.59380439284313,724.5563140357226
Llama2-13B,20,512,1,20,prefill,0.862097854767857,595.0493114877384,325.0303597763263,326.3820459653154
Llama2-13B,20,512,2,10,prefill,0.8817552576250001,1163.467786010428,185.09253864593865,354.72286689092334
Llama2-13B,20,512,4,5,prefill,1.0261862285357142,1998.4620684918789,156.36850633532865,465.86325153564593
Llama2-13B,20,512,5,4,prefill,1.129922413642857,2268.190927021409,159.52159598875124,515.8478010689672
Llama2-13B,20,512,10,2,prefill,1.4490262218035714,3535.822516962668,135.33406644861822,617.6197929189567
Llama2-13B,20,512,20,1,prefill,2.150382366535715,4763.420786894956,127.64122302487804,709.9648416242869
Llama2-13B,20,512,40,1,prefill,3.815057300678572,5371.589953119132,122.94153337138196,720.4876729832306
Llama2-13B,20,640,1,20,prefill,1.0991007184598214,584.0550216656045,325.2740797801891,319.8352653650122
Llama2-13B,20,640,2,10,prefill,1.12367247203125,1142.4168774130017,185.3311908061225,348.0935067727148
Llama2-13B,20,640,4,5,prefill,1.3042111856696428,1967.0819137202168,156.60462457367296,459.193063736334
Llama2-13B,20,640,5,4,prefill,1.4338814170535712,2235.6621628341863,159.75720744272766,509.46077374361965
Llama2-13B,20,640,10,2,prefill,1.8327611772544643,3495.7851448454103,135.56866433385883,612.5432176725375
Llama2-13B,20,640,20,1,prefill,2.721027558169644,4707.966655294313,128.2599021431178,705.6089934932254
Llama2-13B,20,640,40,1,prefill,4.827754105848215,5308.433442192541,123.40998939138385,716.0268615390054
Llama2-13B,20,768,1,20,prefill,1.3446539821517856,573.5911569804192,325.5177826582911,313.6440332577367
Llama2-13B,20,768,2,10,prefill,1.3741400864375,1122.3621023911444,185.5698258405454,341.81081937626635
Llama2-13B,20,768,4,5,prefill,1.5907865428035717,1937.0041926551005,156.84072568625643,452.8055653780365
Llama2-13B,20,768,5,4,prefill,1.7463908204642853,2204.3748649721347,159.99280177094323,503.31407580601336
Llama2-13B,20,768,10,2,prefill,2.225046532705357,3456.976100673708,135.80324509333855,607.6096355608646
Llama2-13B,20,768,20,1,prefill,3.300223149803573,4659.959403306732,128.75036812980773,701.7742930994933
Llama2-13B,20,768,40,1,prefill,5.857200991017858,5252.6186356911085,123.78790013028843,712.0229038717058
Llama2-13B,20,896,1,20,prefill,1.59856564584375,563.6656100450438,325.7614192117439,307.82147830939874
Llama2-13B,20,896,2,10,prefill,1.6329661008437502,1103.322003879047,185.8083945503192,335.89234577528725
Llama2-13B,20,896,4,5,prefill,1.8857202999375,1908.286884983767,157.0767604741907,446.7326694974119
Llama2-13B,20,896,5,4,prefill,2.0672586238749995,2174.405726769029,160.2283297745096,497.4440307026613
Llama2-13B,20,896,10,2,prefill,2.62569028815625,3419.530690791266,136.03775952816915,602.8586134950257
Llama2-13B,20,896,20,1,prefill,3.887777141437501,4616.686116134313,129.10375903097625,697.9648130566993
Llama2-13B,20,896,40,1,prefill,6.914769476187501,5193.857978604085,124.2434211101336,707.8261678284508
Llama2-13B,20,1024,1,20,prefill,1.8610021095357143,554.1745464154562,326.00505805964724,302.2803196273809
Llama2-13B,20,1024,2,10,prefill,1.90031691525,1085.099674738235,186.0469655545436,330.24899740346973
Llama2-13B,20,1024,4,5,prefill,2.189178857071429,1880.6529696032044,157.31279755657556,440.8876441376779
Llama2-13B,20,1024,5,4,prefill,2.396651227285714,2145.4762811689093,160.4638600725266,491.7685893253184
Llama2-13B,20,1024,10,2,prefill,3.034858843607142,3383.1262458859933,136.27227625745036,598.222298402568
Llama2-13B,20,1024,20,1,prefill,4.48385593307143,4576.442132421096,129.48309107678762,694.7318353389751
Llama2-13B,20,1024,40,1,prefill,7.989088041357143,5140.352195243142,124.63426688919496,703.9554142952284
Llama2-13B,20,1152,1,20,prefill,2.139323373227678,543.6996171052638,326.3944966909706,295.8980154048116
Llama2-13B,20,1152,2,10,prefill,2.18355252965625,1064.959837304409,186.431336342188,323.777942788444
Llama2-13B,20,1152,4,5,prefill,2.508522214205357,1849.8348580215995,157.6946344223804,434.12829497853454
Llama2-13B,20,1152,5,4,prefill,2.741928630696428,2113.0435897073294,160.84519015396353,485.1712601478301
