Model,TP,weights_GiB,kv_free_GiB,weight_share_pct,max_context_tok,panel,N_T,cpb_ceil,kv_slack_T,C_max_4096_T,C_need_T
Llama2-7B,1.0,12.55078125,3.44921875,78.4423828125,7064.0,poolL_memory,,,,,
Llama2-7B,2.0,6.275390625,9.724609375,39.22119140625,39832.0,poolL_memory,,,,,
Llama2-7B,3.0,4.18359375,11.81640625,26.1474609375,72600.0,poolL_memory,,,,,
Llama2-7B,4.0,3.1376953125,12.8623046875,19.610595703125,105368.0,poolL_memory,,,,,
Llama2-7B,5.0,2.51015625,13.48984375,15.6884765625,138136.0,poolL_memory,,,,,
Llama2-7B,6.0,2.091796875,13.908203125,13.07373046875,170904.0,poolL_memory,,,,,
Llama2-7B,7.0,1.79296875,14.20703125,11.2060546875,203672.0,poolL_memory,,,,,
Llama2-7B,8.0,1.56884765625,14.43115234375,9.8052978515625,236440.0,poolL_memory,,,,,
Llama2-13B,2.0,12.12158203125,3.87841796875,75.7598876953125,10167.04,poolL_memory,,,,,
Llama2-13B,3.0,8.0810546875,7.9189453125,50.506591796875,31138.56,poolL_memory,,,,,
Llama2-13B,4.0,6.060791015625,9.939208984375,37.87994384765625,52110.08,poolL_memory,,,,,
Llama2-13B,5.0,4.8486328125,11.1513671875,30.303955078125,73081.6,poolL_memory,,,,,
Llama2-13B,6.0,4.04052734375,11.95947265625,25.2532958984375,94053.12,poolL_memory,,,,,
Llama2-13B,7.0,3.4633091517857144,12.536690848214285,21.645682198660715,115024.64,poolL_memory,,,,,
Llama2-13B,8.0,3.0303955078125,12.9696044921875,18.939971923828125,135996.16,poolL_memory,,,,,
Llama2-13B,9.0,2.6936848958333335,13.306315104166666,16.835530598958336,156967.68,poolL_memory,,,,,
Llama2-13B,10.0,2.42431640625,13.57568359375,15.1519775390625,177939.2,poolL_memory,,,,,
Llama2-70B,9.0,14.27517361111111,1.7248263888888893,89.21983506944444,50867.20000000001,poolL_memory,,,,,
Llama2-70B,10.0,12.84765625,3.15234375,80.2978515625,103296.0,poolL_memory,,,,,
Llama2-70B,11.0,11.6796875,4.3203125,72.998046875,155724.8,poolL_memory,,,,,
Llama2-70B,12.0,10.706380208333334,5.293619791666666,66.91487630208334,208153.59999999998,poolL_memory,,,,,
Llama2-70B,13.0,9.8828125,6.1171875,61.767578125,260582.4,poolL_memory,,,,,
Llama2-70B,14.0,9.176897321428571,6.823102678571429,57.35560825892857,313011.2,poolL_memory,,,,,
Llama2-70B,15.0,8.565104166666666,7.434895833333334,53.531901041666664,365440.00000000006,poolL_memory,,,,,
Llama2-70B,16.0,8.02978515625,7.97021484375,50.1861572265625,417868.8,poolL_memory,,,,,
Llama2-13B,,,,,,poolT_kv_slack,10.0,8.0,1.091,43.6,40.0
Llama2-13B,,,,,,poolT_kv_slack,11.0,8.0,1.091,43.6,40.0
Llama2-13B,,,,,,poolT_kv_slack,12.0,8.0,1.091,43.6,40.0
Llama2-13B,,,,,,poolT_kv_slack,13.0,8.0,1.091,43.6,40.0
Llama2-13B,,,,,,poolT_kv_slack,14.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,15.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,16.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,17.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,18.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,19.0,10.0,1.411,56.4,40.0
Llama2-13B,,,,,,poolT_kv_slack,20.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,21.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,22.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,23.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,24.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,25.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,26.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,27.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,28.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,29.0,16.0,2.371,94.8,40.0
Llama2-13B,,,,,,poolT_kv_slack,30.0,16.0,2.371,94.8,40.0
Llama2-70B,,,,,,poolT_kv_slack,16.0,6.0,1.125,90.0,80.0
Llama2-70B,,,,,,poolT_kv_slack,17.0,6.0,1.125,90.0,80.0
Llama2-70B,,,,,,poolT_kv_slack,18.0,6.0,1.125,90.0,80.0
Llama2-70B,,,,,,poolT_kv_slack,19.0,6.0,1.125,90.0,80.0
