Model,series,PP,TP,ttft_s,tput,alpha,N_L,N_T,n_instances,lambda_tok_s
Llama2-7B,cent32static,1,32,0.40127452443749995,601.5084855901322,,,,,
Llama2-7B,cent32static,2,16,0.39779980217187494,1210.926115912572,,,,,
Llama2-7B,cent32static,4,8,0.403623445453125,2395.457280407654,,,,,
Llama2-7B,cent32static,8,4,0.4575598483437499,4316.668939252149,,,,,
Llama2-7B,cent32static,16,2,0.56203142553125,7218.353349997859,,,,,
Llama2-7B,cent32static,32,1,0.718058015296875,11505.425876953073,,,,,
Llama2-7B,native,1,8,0.403623445453125,598.8643201019134,,,,,
Llama2-7B,native,2,4,0.4575598483437499,1079.1672348130373,,,,,
Llama2-7B,native,4,2,0.56203142553125,1804.5883374994648,,,,,
Llama2-7B,native,8,1,0.78212593990625,2683.205316725813,,,,,
Llama2-7B,native,32,1,2.478022399296875,3234.5172792768903,,,,,
Llama2-7B,dda,,2,0.562,6239.1,0.11,4.0,28.0,2.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.12,4.0,28.0,2.0,7006.8
Llama2-7B,dda,,1,0.782,6239.1,0.13,3.0,29.0,3.0,7006.8
Llama2-7B,dda,,1,0.782,6239.1,0.14,3.0,29.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.15,6.0,26.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.16,6.0,26.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.17,6.0,26.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.18,6.0,26.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.19,6.0,26.0,3.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.2,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.21,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.22,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.23,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.24,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.25,8.0,24.0,4.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.26,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.27,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.28,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.29,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.3,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.31,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.32,10.0,22.0,5.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.33,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.34,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.35,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.36,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.37,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.38,12.0,20.0,6.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.39,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.4,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.41,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.42,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.43,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.44,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.45,14.0,18.0,7.0,7006.8
Llama2-7B,dda,,2,0.562,6239.1,0.46,16.0,16.0,8.0,7006.8
