Model,N_T,cpb_ceil,cpb_floor,n_ceil,n_floor,idle_T,Tput_T,req_lat_T_cent_s,req_lat_T_packed_s,packing_gain_pct
Llama2-13B,10,8,8,10,0,0,2269.2,37.229,37.229,0.0
Llama2-13B,11,8,10,7,4,1,2269.2,37.229,34.979,6.1
Llama2-13B,12,8,10,4,8,2,2269.2,37.229,32.73,12.3
Llama2-13B,13,8,10,1,12,3,2269.2,37.229,30.48,18.4
Llama2-13B,14,10,16,12,2,0,2853.6,29.605,28.582,3.4
Llama2-13B,15,10,16,10,5,1,2853.6,29.605,27.047,8.6
Llama2-13B,16,10,16,8,8,2,2853.6,29.605,25.513,13.8
Llama2-13B,17,10,16,6,11,3,2853.6,29.605,23.978,19.0
Llama2-13B,18,10,16,4,14,4,2853.6,29.605,22.444,24.1
Llama2-13B,19,10,16,2,17,5,2853.6,29.605,20.909,29.3
Llama2-13B,20,16,16,20,0,0,4402.4,19.189,19.189,0.0
Llama2-13B,21,16,32,19,2,1,4402.4,19.189,18.75,2.3
Llama2-13B,22,16,32,18,4,2,4402.4,19.189,18.311,4.6
Llama2-13B,23,16,32,17,6,3,4402.4,19.189,17.871,6.9
Llama2-13B,24,16,32,16,8,4,4402.4,19.189,17.432,9.2
Llama2-13B,25,16,32,15,10,5,4402.4,19.189,16.993,11.5
Llama2-13B,26,16,32,14,12,6,4402.4,19.189,16.553,13.8
Llama2-13B,27,16,32,13,14,7,4402.4,19.189,16.114,16.1
Llama2-13B,28,16,32,12,16,8,4402.4,19.189,15.675,18.4
Llama2-13B,29,16,32,11,18,9,4402.4,19.189,15.235,20.7
Llama2-13B,30,16,32,10,20,10,4402.4,19.189,14.796,23.0
Llama2-70B,16,6,6,16,0,0,756.2,223.435,223.435,0.0
Llama2-70B,17,6,8,12,5,1,756.2,223.435,209.447,6.3
Llama2-70B,18,6,8,8,10,2,756.2,223.435,195.459,12.5
Llama2-70B,19,6,8,4,15,3,756.2,223.435,181.471,18.8
Llama2-70B,20,8,8,20,0,0,1010.9,167.145,167.145,0.0
Llama2-70B,21,8,10,17,4,1,1010.9,167.145,162.347,2.9
Llama2-70B,22,8,10,14,8,2,1010.9,167.145,157.549,5.8
Llama2-70B,23,8,10,11,12,3,1010.9,167.145,152.751,8.7
Llama2-7B,6,5,6,2,4,0,2052.2,32.932,29.649,10.0
Llama2-7B,7,6,8,4,3,0,2453.6,27.545,25.115,8.8
Llama2-7B,8,8,8,8,0,0,3234.5,20.895,20.895,0.0
Llama2-7B,9,8,10,5,4,1,3234.5,20.895,19.444,7.1
Llama2-7B,10,8,10,2,8,2,3234.5,20.895,17.994,14.1
Llama2-7B,11,10,16,10,1,0,3991.7,16.931,16.559,2.2
Llama2-7B,12,10,16,8,4,1,3991.7,16.931,15.444,8.8
Llama2-7B,13,10,16,6,7,2,3991.7,16.931,14.329,15.4
Llama2-7B,14,10,16,4,10,3,3991.7,16.931,13.214,22.0
Llama2-7B,15,10,16,2,13,4,3991.7,16.931,12.099,28.6
Llama2-7B,16,16,16,16,0,0,6239.1,10.832,10.832,0.0
Llama2-7B,17,16,32,15,2,1,6239.1,10.832,10.53,2.8
Llama2-7B,18,16,32,14,4,2,6239.1,10.832,10.228,5.6
Llama2-7B,19,16,32,13,6,3,6239.1,10.832,9.926,8.5
Llama2-7B,20,16,32,12,8,4,6239.1,10.832,9.624,11.3
Llama2-7B,21,16,32,11,10,5,6239.1,10.832,9.321,14.1
Llama2-7B,22,16,32,10,12,6,6239.1,10.832,9.019,16.9
Llama2-7B,23,16,32,9,14,7,6239.1,10.832,8.717,19.8
Llama2-7B,24,16,32,8,16,8,6239.1,10.832,8.415,22.6
Llama2-7B,25,16,32,7,18,9,6239.1,10.832,8.113,25.4
Llama2-7B,26,16,32,6,20,10,6239.1,10.832,7.81,28.2
Llama2-7B,27,16,32,5,22,11,6239.1,10.832,7.508,31.1
Llama2-7B,28,16,32,4,24,12,6239.1,10.832,7.206,33.9
Llama2-7B,29,16,32,3,26,13,6239.1,10.832,6.904,36.7
Llama2-7B,30,16,32,2,28,14,6239.1,10.832,6.602,39.5
Llama2-7B,31,16,32,1,30,15,6239.1,10.832,6.299,42.3
