Model,alpha_req,alpha_tok,lambda_tok_s,selectable,N_L,N_T,n_instances,TP_per_instance,lambda_max,headroom_ratio,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,kv_slack_T,kv_slack_L,bottleneck,n_meets_load,n_meets_kv,n_unsaturated,n_selectable,ttft_bar_s,switch_from,devices_draining,devices_kept,T_drain_s,T_breakeven_s,free_move,note,lambda_shown
Llama2-7B,0.33,0.33,9291.7,True,14,18,7,2,9312.1,1.002,3158.0,6239.1,9397.2,0.562,10.228,3.812,9.725,PoolT,9,91,68,9,0.674,,,,,,,,9291.7
Llama2-7B,0.34,0.34,9291.7,True,16,16,8,2,9453.2,1.017,3609.2,6239.1,9848.3,0.562,10.832,3.812,9.725,PoolT,8,91,68,8,0.674,7xTP2/N_T18,4.0,28.0,23.47,1321.69,False,,9291.7
Llama2-7B,0.35,0.35,9291.7,True,16,16,8,2,9598.6,1.033,3609.2,6239.1,9848.3,0.562,10.832,3.812,9.725,PoolT,8,91,68,8,0.674,,,,,,,,9291.7
Llama2-7B,0.36,0.36,9291.7,True,16,16,8,2,9748.6,1.049,3609.2,6239.1,9848.3,0.562,10.832,3.812,9.725,PoolT,8,91,68,8,0.674,,,,,,,,9291.7
Llama2-7B,0.37,0.37,9291.7,True,16,16,8,2,9754.6,1.05,3609.2,6239.1,9848.3,0.562,10.832,3.812,9.725,PoolL,7,91,68,7,0.674,,,,,,,,9291.7
Llama2-7B,0.38,0.38,9291.7,True,16,16,8,2,9497.9,1.022,3609.2,6239.1,9848.3,0.562,10.832,3.812,9.725,PoolL,7,91,68,7,0.674,,,,,,,,9291.7
Llama2-7B,0.39,0.39,9291.7,True,11,21,11,1,9460.0,1.018,3689.4,6239.1,9928.5,0.782,9.321,3.812,1.725,PoolL,6,91,68,6,0.938,8xTP2/N_T16,21.0,11.0,23.47,1056.28,False,,9291.7
Llama2-7B,0.4,0.4,9291.7,True,12,20,12,1,10062.0,1.083,4024.8,6239.1,10263.9,0.782,9.624,3.812,1.725,PoolL,5,91,68,5,0.938,11xTP1/N_T21,2.0,30.0,23.47,258.19,False,,9291.7
Llama2-7B,0.41,0.41,9291.7,True,12,20,12,1,9816.6,1.056,4024.8,6239.1,10263.9,0.782,9.624,3.812,1.725,PoolL,5,91,68,5,0.938,,,,,,,,9291.7
Llama2-7B,0.42,0.42,9291.7,True,12,20,12,1,9582.9,1.031,4024.8,6239.1,10263.9,0.782,9.624,3.812,1.725,PoolL,5,91,68,5,0.938,,,,,,,,9291.7
Llama2-7B,0.43,0.43,9291.7,True,12,20,12,1,9360.0,1.007,4024.8,6239.1,10263.9,0.782,9.624,3.812,1.725,PoolL,5,91,68,5,0.938,,,,,,,,9291.7
Llama2-7B,0.44,0.44,9291.7,True,13,19,13,1,9909.5,1.066,4360.2,6239.1,10599.3,0.782,9.926,3.812,1.725,PoolL,4,91,68,4,0.938,12xTP1/N_T20,2.0,30.0,23.47,281.66,False,,9291.7
Llama2-7B,0.45,0.45,9291.7,True,13,19,13,1,9689.3,1.043,4360.2,6239.1,10599.3,0.782,9.926,3.812,1.725,PoolL,4,91,68,4,0.938,,,,,,,,9291.7
