deployment,devices,eff_TTFT_s,batch_lat_s,served_tok,unmet_frac,spill_frac,reconfigs,tokens_lost,util,Model,motion,offered_tok,served_frac,max_spill_frac
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.38065432974271957,,0,0.0,1.0,Llama2-7B,diurnal,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,diurnal,451221840.00000006,0.9999999999999999,0.1
dda_static,32,1.539,10.83,451221840.0,0.0,0.1042,0,0.0,0.6219157120060971,Llama2-7B,diurnal,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.606,10.36,450720146.90625,0.0008,0.0032,4,1198324.0,0.5440352936616791,Llama2-7B,diurnal,451221840.00000006,0.9988881453660353,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.3806543297427196,,0,0.0,1.0,Llama2-7B,steady,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,steady,451221840.00000006,0.9999999999999999,0.1
dda_static,32,0.458,10.83,451221840.0,0.0,0.0,0,0.0,0.6219157120060971,Llama2-7B,steady,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.458,10.83,451221840.0,0.0,0.0,0,0.0,0.6219157120060971,Llama2-7B,steady,451221840.00000006,0.9999999999999999,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.38065432974271957,,0,0.0,1.0,Llama2-7B,step up,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,step up,451221840.00000006,0.9999999999999999,0.1
dda_static,32,5.443,6.3,451221840.0,0.0,0.8448,0,0.0,0.79435318275154,Llama2-7B,step up,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.794,9.31,451086926.0625,0.0004,0.0022,1,280039.0,0.5265147159414422,Llama2-7B,step up,451221840.00000006,0.9997010030864196,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.38065432974271957,,0,0.0,1.0,Llama2-7B,step down,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,step down,451221840.00000006,0.9999999999999999,0.1
dda_static,32,0.562,10.83,451221840.0,0.0,0.0,0,0.0,0.5302920300965649,Llama2-7B,step down,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.595,7.85,451071329.34375,0.0001,0.0,1,433468.0,0.678624477477567,Llama2-7B,step down,451221840.00000006,0.9996664375637269,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.38065432974271957,,0,0.0,1.0,Llama2-7B,brief spike,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,brief spike,451221840.00000006,0.9999999999999999,0.1
dda_static,32,0.801,6.3,451221839.99999994,0.0,0.0034,0,0.0,0.79435318275154,Llama2-7B,brief spike,451221840.00000006,0.9999999999999998,0.1
dda_dynamic,32,0.801,6.3,451221839.99999994,0.0,0.0034,0,0.0,0.79435318275154,Llama2-7B,brief spike,451221840.00000006,0.9999999999999998,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.3806543297427196,,0,0.0,1.0,Llama2-7B,slow ramp,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,slow ramp,451221840.00000006,0.9999999999999999,0.1
dda_static,32,5.122,6.3,451221840.0,0.0,0.7866,0,0.0,0.79435318275154,Llama2-7B,slow ramp,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.783,10.63,451086926.0625,0.0,0.0002,1,280039.0,0.45885546129847893,Llama2-7B,slow ramp,451221840.00000006,0.9997010030864196,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.3806543297427196,,0,0.0,1.0,Llama2-7B,flapping,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,flapping,451221840.00000006,0.9999999999999999,0.1
dda_static,32,5.249,6.3,451221840.0,0.0,0.8096,0,0.0,0.79435318275154,Llama2-7B,flapping,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,5.249,6.3,451221840.0,0.0,0.8096,0,0.0,0.79435318275154,Llama2-7B,flapping,451221840.00000006,0.9999999999999999,0.1
static_8dev_PP32/TP1,8,2.478,20.89,279462292.9295232,0.3806543297427197,,0,0.0,1.0,Llama2-7B,random walk,451221840.00000006,0.61934567025728,0.1
static_32dev_PP32/TP1,32,0.718,5.87,451221840.0,0.0,,0,0.0,0.4539140972140218,Llama2-7B,random walk,451221840.00000006,0.9999999999999999,0.1
dda_static,32,0.458,10.83,451221840.0,0.0,0.0,0,0.0,0.6219157120060971,Llama2-7B,random walk,451221840.00000006,0.9999999999999999,0.1
dda_dynamic,32,0.544,8.14,450512807.34375,0.0006,0.001,5,1918352.0,0.6889573564764984,Llama2-7B,random walk,451221840.00000006,0.9984286384359187,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,diurnal,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,diurnal,234061487.99999997,1.0,0.1
dda_static,32,3.882,19.19,234061487.99999994,0.0,0.1696,0,0.0,0.5031752075632904,Llama2-13B,diurnal,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,1.034,18.42,233541774.42077333,0.0031,0.0065,6,1359925.0,0.48087458966862023,Llama2-13B,diurnal,234061487.99999997,0.9977795852548513,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,steady,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,steady,234061487.99999997,1.0,0.1
dda_static,32,0.755,19.19,234061487.99999994,0.0,0.0,0,0.0,0.5031752075632904,Llama2-13B,steady,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,0.755,19.19,234061487.99999994,0.0,0.0,0,0.0,0.5031752075632904,Llama2-13B,steady,234061487.99999997,0.9999999999999999,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,step up,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,step up,234061487.99999997,1.0,0.1
dda_static,32,11.797,14.8,234061487.99999994,0.0,0.7834,0,0.0,0.5798469606164383,Llama2-13B,step up,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,0.985,17.72,234034397.54999995,0.0003,0.0027,1,184827.0,0.48671691745039536,Llama2-13B,step up,234061487.99999997,0.9998842592592592,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,step down,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,step down,234061487.99999997,1.0,0.1
dda_static,32,0.946,19.19,234061487.99999994,0.0,0.0,0,0.0,0.45,Llama2-13B,step down,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,0.946,16.29,234004065.29999995,0.0,0.0,1,238158.0,0.5280349505135933,Llama2-13B,step down,234061487.99999997,0.9997546683117727,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,brief spike,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,brief spike,234061487.99999997,1.0,0.1
dda_static,32,1.032,14.8,234061487.99999994,0.0,0.0062,0,0.0,0.5798469606164383,Llama2-13B,brief spike,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,1.032,14.8,234061487.99999994,0.0,0.0062,0,0.0,0.5798469606164383,Llama2-13B,brief spike,234061487.99999997,0.9999999999999999,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,slow ramp,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,slow ramp,234061487.99999997,1.0,0.1
dda_static,32,10.315,14.8,234061487.99999994,0.0,0.6765,0,0.0,0.5798469606164383,Llama2-13B,slow ramp,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,0.953,18.65,234016161.8517853,0.0,0.0005,1,184827.0,0.4628908824214764,Llama2-13B,slow ramp,234061487.99999997,0.999806349397323,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,flapping,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,flapping,234061487.99999997,1.0,0.1
dda_static,32,11.345,14.8,234061487.99999994,0.0,0.7508,0,0.0,0.5798469606164383,Llama2-13B,flapping,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,11.345,14.8,234061487.99999994,0.0,0.7508,0,0.0,0.5798469606164383,Llama2-13B,flapping,234061487.99999997,0.9999999999999999,0.1
static_20dev_PP40/TP1,20,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,random walk,234061487.99999997,1.0,0.1
static_32dev_PP40/TP1,32,2.362,19.19,234061487.99999997,0.0,,0,0.0,0.6153502938247873,Llama2-13B,random walk,234061487.99999997,1.0,0.1
dda_static,32,0.905,19.19,234061487.99999994,0.0,0.0081,0,0.0,0.5031752075632904,Llama2-13B,random walk,234061487.99999997,0.9999999999999999,0.1
dda_dynamic,32,1.01,16.34,233588463.94094318,0.0021,0.0113,9,1926231.0,0.5454587247693691,Llama2-13B,random walk,234061487.99999997,0.9979790607028151,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,diurnal,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,diurnal,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,diurnal,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,diurnal,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,steady,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,steady,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,steady,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,steady,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,step up,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,step up,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,step up,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,step up,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,step down,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,step down,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,step down,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,step down,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,brief spike,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,brief spike,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,brief spike,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,brief spike,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,slow ramp,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,slow ramp,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,slow ramp,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,slow ramp,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,flapping,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,flapping,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,flapping,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,flapping,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,random walk,15662749.090909088,0.9999999999999999,0.1
static_32dev_PP80/TP1,32,17.82,134.97,15662749.090909086,0.0,,0,0.0,0.14480918283944355,Llama2-70B,random walk,15662749.090909088,0.9999999999999999,0.1
dda_static,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,random walk,15662749.090909088,0.9999999999999999,0.1
dda_dynamic,32,2.143,152.75,15662749.090909086,0.0,0.0,0,0.0,0.16210481818994735,Llama2-70B,random walk,15662749.090909088,0.9999999999999999,0.1
