Model,max_spill_frac,lam_frac,lam,static_cfg,static_TTFT_s,static_unmet,static_batch_s,dda_TTFT_s,dda_unmet,dda_spill,dda_batch_s,dda_reconfigs,ttft_ratio
Llama2-7B,0.1,0.15,1741.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.474,0.0002,0.0007,9.15,2,1.515
Llama2-7B,0.1,0.25,2901.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.53,0.0008,0.0034,9.78,4,1.355
Llama2-7B,0.1,0.35,4062.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.555,0.0001,0.0053,10.05,2,1.294
Llama2-7B,0.1,0.5,5803.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.604,0.0002,0.0024,10.42,3,1.189
Llama2-7B,0.1,0.65,7544.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.787,0.0002,0.0063,10.83,1,0.912
Llama2-7B,0.1,0.8,9284.0,static_32dev_PP32/TP1,0.718,0.0,5.87,0.788,0.021,0.0025,10.83,1,0.911
Llama2-7B,0.1,0.95,11025.0,static_32dev_PP32/TP1,0.718,0.0,5.87,1.148,0.1135,0.0322,10.83,0,0.625
Llama2-13B,0.1,0.15,903.0,static_32dev_PP40/TP1,2.362,0.0,19.19,0.746,0.0,0.0005,17.02,1,3.166
Llama2-13B,0.1,0.25,1505.0,static_32dev_PP40/TP1,2.362,0.0,19.19,0.902,0.0012,0.0073,17.73,4,2.619
Llama2-13B,0.1,0.35,2107.0,static_32dev_PP40/TP1,2.362,0.0,19.19,0.959,0.0031,0.0074,18.18,6,2.463
Llama2-13B,0.1,0.5,3010.0,static_32dev_PP40/TP1,2.362,0.0,19.19,1.064,0.0028,0.0076,18.5,6,2.22
Llama2-13B,0.1,0.65,3913.0,static_32dev_PP40/TP1,2.362,0.0,19.19,1.183,0.002,0.012,20.88,8,1.997
Llama2-13B,0.1,0.8,4816.0,static_32dev_PP40/TP1,2.362,0.0859,19.19,1.615,0.0008,0.0263,23.06,2,1.463
Llama2-13B,0.1,0.95,5719.0,static_32dev_PP40/TP1,2.362,0.2302,19.19,0.972,0.7776,0.0003,19.19,0,2.43
Llama2-70B,0.1,0.15,168.0,static_32dev_PP80/TP1,17.82,0.0,134.97,2.143,0.0,0.0,152.75,0,8.315
Llama2-70B,0.1,0.25,280.0,static_32dev_PP80/TP1,17.82,0.0,134.97,23.442,0.0,0.1414,152.75,0,0.76
Llama2-70B,0.1,0.35,392.0,static_32dev_PP80/TP1,17.82,0.0,134.97,2.606,0.7713,0.0008,157.19,1,6.838
Llama2-70B,0.1,0.5,561.0,static_32dev_PP80/TP1,17.82,0.0,134.97,12.727,0.8191,0.0127,156.95,1,1.4
Llama2-70B,0.1,0.65,729.0,static_32dev_PP80/TP1,17.82,0.0,134.97,26.221,0.8396,0.0257,157.0,1,0.68
Llama2-70B,0.1,0.8,897.0,static_32dev_PP80/TP1,17.82,0.0,134.97,39.34,0.8528,0.0364,154.31,1,0.453
Llama2-70B,0.1,0.95,1065.0,static_32dev_PP80/TP1,17.82,0.0,134.97,50.442,0.8596,0.045,154.37,1,0.353
