Model,alpha,mode,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_L_s,TTFT_T_packed_s,bottleneck
Llama2-7B,0.02,single,2,30,5912.4,418.8,5794.2,0.91,14.732,PoolT
Llama2-7B,0.03,single,2,30,5973.4,418.8,5794.2,0.91,14.732,PoolT
Llama2-7B,0.04,single,2,30,6035.6,418.8,5794.2,0.91,14.732,PoolT
Llama2-7B,0.05,single,2,30,6099.2,418.8,5794.2,0.91,14.732,PoolT
Llama2-7B,0.06,single,2,30,6164.0,418.8,5794.2,0.91,14.732,PoolT
Llama2-7B,0.07,single,4,28,6230.3,499.2,5794.2,0.743,16.117,PoolT
Llama2-7B,0.08,single,6,26,6298.0,513.0,5794.2,0.722,17.501,PoolT
Llama2-7B,0.09,dp_k2,16,16,6367.3,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.1,dp_k2,16,16,6438.0,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.11,dp_k2,16,16,6510.3,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.12,dp_k2,16,16,6584.3,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.13,dp_k2,16,16,6660.0,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.14,dp_k2,16,16,6737.4,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.15,dp_k2,16,16,6816.7,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.16,dp_k2,16,16,6897.9,1106.8,5794.2,0.656,24.422,PoolT
Llama2-7B,0.17,dp_k2,16,16,6510.6,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.18,dp_k2,16,16,6148.9,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.19,dp_k2,16,16,5825.3,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.2,dp_k2,16,16,5534.0,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.21,dp_k2,16,16,5270.5,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.22,dp_k2,16,16,5030.9,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.23,dp_k2,16,16,4812.2,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.24,dp_k2,16,16,4611.7,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.25,dp_k2,16,16,4427.2,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.26,dp_k2,16,16,4256.9,1106.8,5794.2,0.656,24.422,PoolL
Llama2-7B,0.27,dp_k3,24,8,4110.0,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.28,dp_k3,24,8,4167.1,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.29,dp_k3,24,8,4225.8,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.3,dp_k3,24,8,4286.1,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.31,dp_k3,24,8,4348.3,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.32,dp_k3,24,8,4412.2,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.33,dp_k3,24,8,4478.1,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.34,dp_k3,24,8,4545.9,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.35,dp_k3,24,8,4615.8,1660.2,3000.3,0.656,47.329,PoolT
Llama2-7B,0.36,dp_k3,24,8,4611.7,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.37,dp_k3,24,8,4487.0,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.38,dp_k3,24,8,4368.9,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.39,dp_k3,24,8,4256.9,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.4,dp_k3,24,8,4150.5,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.41,dp_k3,24,8,4049.3,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.42,dp_k3,24,8,3952.9,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.43,dp_k3,24,8,3860.9,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.44,dp_k3,24,8,3773.2,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.45,dp_k3,24,8,3689.3,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.46,dp_k3,24,8,3609.1,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.47,dp_k3,24,8,3532.3,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.48,dp_k3,24,8,3458.8,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.49,dp_k3,24,8,3388.2,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.5,dp_k3,24,8,3320.4,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.51,dp_k3,24,8,3255.3,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.52,dp_k3,24,8,3192.7,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.53,dp_k3,24,8,3132.5,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.54,dp_k3,24,8,3074.4,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.55,dp_k3,24,8,3018.5,1660.2,3000.3,0.656,47.329,PoolL
Llama2-7B,0.56,dp_k3,24,8,2964.6,1660.2,3000.3,0.656,47.329,PoolL
