Model,alpha_req,alpha_tok,lambda_tok_s,selectable,N_L,N_T,n_instances,TP_per_instance,lambda_max,headroom_ratio,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,kv_slack_T,kv_slack_L,bottleneck,n_meets_load,n_meets_kv,n_unsaturated,n_selectable,ttft_bar_s,switch_from,devices_draining,devices_kept,T_drain_s,T_breakeven_s,free_move,note
Llama2-7B,0.02,0.02,152.3,True,1,31,1,1,6366.4,41.796,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,304.6,True,1,31,1,1,6366.4,20.898,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,457.0,True,1,31,1,1,6366.4,13.932,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,609.3,True,1,31,1,1,6366.4,10.449,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,761.6,True,1,31,1,1,6366.4,8.359,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,913.9,True,1,31,1,1,6366.4,6.966,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1066.3,True,1,31,1,1,6366.4,5.971,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1218.6,True,1,31,1,1,6366.4,5.224,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1370.9,True,1,31,1,1,6366.4,4.644,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1523.2,True,1,31,1,1,6366.4,4.18,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1675.5,True,1,31,1,1,6366.4,3.8,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1827.9,True,1,31,1,1,6366.4,3.483,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,1980.2,True,1,31,1,1,6366.4,3.215,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,91,91,68,68,0.485,,,,,,,
Llama2-7B,0.02,0.02,2132.5,True,1,31,1,1,6366.4,2.985,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2284.8,True,1,31,1,1,6366.4,2.786,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2437.2,True,1,31,1,1,6366.4,2.612,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,87,91,68,66,0.485,,,,,,,
Llama2-7B,0.02,0.02,2589.5,True,1,31,1,1,6366.4,2.459,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,2741.8,True,1,31,1,1,6366.4,2.322,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,2894.1,True,1,31,1,1,6366.4,2.2,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3046.4,True,1,31,1,1,6366.4,2.09,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3198.8,True,1,31,1,1,6366.4,1.99,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,84,91,68,64,0.485,,,,,,,
Llama2-7B,0.02,0.02,3351.1,True,1,31,1,1,6366.4,1.9,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3503.4,True,1,31,1,1,6366.4,1.817,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3655.7,True,1,31,1,1,6366.4,1.741,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3808.1,True,1,31,1,1,6366.4,1.672,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,3960.4,True,1,31,1,1,6366.4,1.608,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,70,91,68,55,0.485,,,,,,,
Llama2-7B,0.02,0.02,4112.7,True,1,31,1,1,6366.4,1.548,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4265.0,True,1,31,1,1,6366.4,1.493,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4417.3,True,1,31,1,1,6366.4,1.441,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4569.7,True,1,31,1,1,6366.4,1.393,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4722.0,True,1,31,1,1,6366.4,1.348,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,4874.3,True,1,31,1,1,6366.4,1.306,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5026.6,True,1,31,1,1,6366.4,1.267,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5179.0,True,1,31,1,1,6366.4,1.229,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5331.3,True,1,31,1,1,6366.4,1.194,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5483.6,True,1,31,1,1,6366.4,1.161,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5635.9,True,1,31,1,1,6366.4,1.13,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5788.2,True,1,31,1,1,6366.4,1.1,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,5940.6,True,1,31,1,1,6366.4,1.072,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6092.9,True,1,31,1,1,6366.4,1.045,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6245.2,True,1,31,1,1,6366.4,1.019,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,50,91,68,42,0.485,,,,,,,
Llama2-7B,0.02,0.02,6397.5,False,1,31,1,1,6366.4,0.995,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
Llama2-7B,0.02,0.02,6549.9,False,1,31,1,1,6366.4,0.972,335.4,6239.1,6574.5,0.782,6.299,3.812,1.725,PoolT,0,91,68,0,inf,,,,,,,no split meets load+kv+unsaturated+eps at this rate
