Model,N_L,N_T,TTFT_short,Tput_L,Tput_T,system_tput,TTFT_long,cpb_T,used_T,idle_T,idle_total,PIM_L,CXL_L
Llama2-13B,2,30,1.53024657615625,250.43553406085633,4105.440101281036,4355.875635341892,42.62704043578571,16,20,10,10,0.054803500000000005,0.0114136211013793
Llama2-13B,4,28,1.2256604158749997,302.69633131369517,4105.440101281036,4408.136432594731,42.62704043578571,16,20,8,8,0.038690499999999996,0.0130676499938964
Llama2-13B,6,26,1.10208294596875,329.722769024524,4105.440101281036,4435.162870305559,42.62704043578571,16,20,6,6,0.0324175,0.0134699813461303
Llama2-13B,8,24,1.08477975628125,335.01537829836684,4105.440101281036,4440.455479579403,42.62704043578571,16,20,4,4,0.0312285,0.0138574115371704
Llama2-13B,10,22,0.9888719568437497,358.7902624995234,4105.440101281036,4464.230363780559,42.62704043578571,16,20,2,2,0.0261445,0.0143640510177612
Llama2-13B,12,20,0.9891866284062499,358.7064226496973,4105.440101281036,4464.146523930733,42.62704043578571,16,20,0,0,0.0261445,0.0143938533401489
Llama2-13B,14,18,0.9633195252812499,365.7396767932157,2663.583345291142,3029.323022084358,65.56034724264286,10,14,4,4,0.0249555,0.0143342486953735
Llama2-13B,16,16,0.9727894702812501,363.1311537273094,2663.583345291142,3026.7144990184515,65.56034724264286,10,14,2,2,0.0249555,0.0148110858535766
Llama2-13B,18,14,0.9593617359062498,366.8416689827585,2663.583345291142,3030.4250142739006,65.56034724264286,10,14,0,0,0.0249555,0.0141554347610473
Llama2-13B,20,12,0.9733998218437501,362.96438156728914,2114.872105301679,2477.8364868689678,82.85802353064287,8,10,2,2,0.0249555,0.0148408881759643
Llama2-13B,22,10,0.9807335363749999,360.9731272398925,2114.872105301679,2475.8452325415715,82.85802353064287,8,10,0,0,0.0249555,0.0152134172058105
Llama2-70B,2,30,6.204703297375,62.65789723219133,1185.1364872703944,1247.7943845025857,287.80408008300003,10,27,3,3,0.12574675,0.0184618703460693
Llama2-70B,4,28,4.38345870225,83.00686043538283,1185.1364872703944,1268.1433477057772,287.80408008300003,10,27,1,1,0.07881875,0.0212930909729003
Llama2-70B,6,26,3.905444495625,90.82482482275131,955.8096012333235,1046.6344260560747,357.4605296921429,8,20,6,6,0.06620875,0.0223361722564697
Llama2-70B,8,24,3.4786077162499995,99.13289221359486,955.8096012333235,1054.9424934469184,357.4605296921429,8,20,4,4,0.05548075,0.0227236024475097
Llama2-70B,10,22,3.4156963457500003,100.44484341800592,955.8096012333235,1056.2544446513293,357.4605296921429,8,20,2,2,0.05359875,0.0230812303161621
Llama2-70B,12,20,3.3625506002499996,101.58245200946996,955.8096012333235,1057.3920532427935,357.4605296921429,8,20,0,0,0.05171674999999999,0.023677276763916
Llama2-70B,14,18,3.3008599328750003,102.93810351553688,715.1127409494429,818.0508444649798,477.6519606407143,6,16,2,2,0.04983475,0.024064706954956
Llama2-70B,16,16,3.0866982395,107.96244675750171,715.1127409494429,823.0751877069447,477.6519606407143,6,16,0,0,0.044752749999999994,0.0239752999877929
Llama2-7B,2,30,0.90987284725,418.7733661200834,5794.164295255538,6212.937661375621,24.422308708714294,16,16,14,14,0.037235500000000005,0.0095807782745361
Llama2-7B,4,28,0.7427183237499999,499.2289474805083,5794.164295255538,6293.393242736046,24.422308708714294,16,16,12,12,0.0262405,0.0108324758148193
Llama2-7B,6,26,0.7218626097499999,513.0204829922725,5794.164295255538,6307.18477824781,24.422308708714294,16,16,10,10,0.0243245,0.011547731552124
Llama2-7B,8,24,0.656420079125,553.3929928981811,5794.164295255538,6347.557288153719,24.422308708714294,16,16,8,8,0.020264,0.0117712489700317
Llama2-7B,10,22,0.6605780663749999,550.7895006256488,5794.164295255538,6344.953795881186,24.422308708714294,16,16,6,6,0.020264,0.0120394698715209
Llama2-7B,12,20,0.6439132285,561.3823593543514,5794.164295255538,6355.546654609889,24.422308708714294,16,16,4,4,0.019306,0.0119947663879394
Llama2-7B,14,18,0.6551512938749999,554.1925890324138,5794.164295255538,6348.356884287951,24.422308708714294,16,16,2,2,0.019306,0.0126951209640502
Llama2-7B,16,16,0.647102249875,559.3222622195665,5794.164295255538,6353.486557475104,24.422308708714294,16,16,0,0,0.019306,0.0122182838058471
Llama2-7B,18,14,0.654182328,554.8048738331165,3707.145771132198,4261.9506449653145,38.16275908585714,10,11,3,3,0.019306,0.0126504174804687
Llama2-7B,20,12,0.660285843625,550.9716331868783,3707.145771132198,4258.117404319077,38.16275908585714,10,11,1,1,0.019306,0.0130229465103149
Llama2-7B,22,10,0.6289725682499999,571.2506522730625,3000.336182238341,3571.586834511403,47.32874400014286,8,8,2,2,0.018348,0.0120841733551025
Llama2-7B,24,8,0.6311698338749999,569.7764996857445,3000.336182238341,3570.1126819240853,47.32874400014286,8,8,0,0,0.018348,0.0122182838058471
Llama2-7B,26,6,0.6384940526249999,564.9199894619599,1904.8451882387772,2469.765177700737,74.39128399557141,5,6,0,0,0.018348,0.0126653186416625
