Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,Tput_T,TTFT_L_s,req_lat_T_s,kv_slack_L,kv_slack_T
Llama2-7B,1,31,1,1,335.4,6239.1,0.782,6.299,1.725,3.812
Llama2-7B,16,16,16,1,5366.4,6239.1,0.782,10.832,1.725,3.812
Llama2-7B,16,16,8,2,3609.2,6239.1,0.562,10.832,9.725,3.812
Llama2-7B,16,16,4,4,2158.3,6239.1,0.458,10.832,25.725,3.812
Llama2-7B,16,16,2,8,1197.7,6239.1,0.404,10.832,57.725,3.812
Llama2-7B,17,15,17,1,5701.8,3991.7,0.782,12.099,1.725,2.312
Llama2-7B,21,11,21,1,7043.4,3991.7,0.782,16.559,1.725,2.312
Llama2-7B,21,11,7,3,3464.6,3991.7,0.507,16.559,17.725,2.312
Llama2-7B,21,11,3,7,1663.4,3991.7,0.446,16.559,49.725,2.312
Llama2-7B,22,10,22,1,7378.8,3234.5,0.782,17.994,1.725,1.812
Llama2-7B,22,10,11,2,4962.6,3234.5,0.562,17.994,9.725,1.812
Llama2-7B,24,8,24,1,8049.6,3234.5,0.782,20.895,1.725,1.812
Llama2-7B,24,8,12,2,5413.8,3234.5,0.562,20.895,9.725,1.812
Llama2-7B,24,8,8,3,3959.5,3234.5,0.507,20.895,17.725,1.812
Llama2-7B,24,8,6,4,3237.5,3234.5,0.458,20.895,25.725,1.812
Llama2-7B,24,8,4,6,2220.3,3234.5,0.445,20.895,41.725,1.812
Llama2-7B,24,8,3,8,1796.6,3234.5,0.404,20.895,57.725,1.812
Llama2-7B,25,7,25,1,8385.0,2453.6,0.782,25.115,1.725,1.312
Llama2-7B,25,7,5,5,2740.6,2453.6,0.45,25.115,33.725,1.312
Llama2-7B,26,6,26,1,8720.4,2052.2,0.782,29.649,1.725,1.062
Llama2-7B,26,6,13,2,5864.9,2052.2,0.562,29.649,9.725,1.062
Llama2-13B,2,30,1,2,269.6,4402.4,0.946,14.796,2.482,2.371
Llama2-13B,12,20,6,2,1617.7,4402.4,0.946,19.189,2.482,2.371
Llama2-13B,12,20,4,3,1209.3,4402.4,0.83,19.189,7.602,2.371
Llama2-13B,12,20,3,4,981.5,4402.4,0.755,19.189,12.722,2.371
Llama2-13B,12,20,2,6,714.8,4402.4,0.678,19.189,22.962,2.371
Llama2-13B,14,18,7,2,1887.3,2853.6,0.946,22.444,2.482,1.411
Llama2-13B,14,18,2,7,725.3,2853.6,0.667,22.444,28.082,1.411
Llama2-13B,18,14,9,2,2426.5,2853.6,0.946,28.582,2.482,1.411
Llama2-13B,18,14,6,3,1813.9,2853.6,0.83,28.582,7.602,1.411
Llama2-13B,18,14,3,6,1072.2,2853.6,0.678,28.582,22.962,1.411
Llama2-13B,18,14,2,9,738.5,2853.6,0.651,28.582,38.322,1.411
Llama2-13B,20,12,10,2,2696.2,2269.2,0.946,32.73,2.482,1.091
Llama2-13B,20,12,5,4,1635.8,2269.2,0.755,32.73,12.722,1.091
Llama2-13B,20,12,4,5,1404.2,2269.2,0.692,32.73,17.842,1.091
Llama2-13B,20,12,2,10,778.0,2269.2,0.607,32.73,43.442,1.091
Llama2-13B,22,10,11,2,2965.8,2269.2,0.946,37.229,2.482,1.091
Llama2-70B,9,23,1,9,107.4,1010.9,2.143,152.751,12.419,1.925
Llama2-70B,12,20,1,12,110.3,1010.9,2.063,167.145,50.819,1.925
Llama2-70B,13,19,1,13,110.6,756.2,2.056,181.471,63.619,1.125
Llama2-70B,16,16,1,16,117.3,756.2,1.891,223.435,102.019,1.125
