Model,trace,policy,ticks,hours,reconfigs,grow_B,grow_C,shrinks,spill_ticks,spill_frac,unmet_frac,infeasible_ticks,eff_TTFT_s,mean_batch_lat_s,tokens_lost,devices_drained,N_L_min,N_L_max,distinct_splits,t_drain_s,t_grow_s,expectation
Llama2-7B,1_steady,hysteresis,720,6.0,0,0,0,0,0,0.0,0.0,0,0.458,10.83,0.0,0,16.0,16.0,1,45.4,90.9,pass
Llama2-7B,1_steady,greedy,720,6.0,0,0,0,0,0,0.0,0.0,0,0.458,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,1_steady,static,720,6.0,0,0,0,0,0,0.0,0.0,0,0.458,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,3_step_up,hysteresis,720,6.0,1,0,1,0,480,0.0594,0.0007,0,1.16,10.83,168943.2,16,16.0,16.0,2,45.4,90.9,pass
Llama2-7B,3_step_up,greedy,720,6.0,1,0,0,0,1,0.0013,0.0,0,0.766,10.83,168943.2,16,16.0,16.0,2,45.4,90.9,
Llama2-7B,3_step_up,static,720,6.0,0,0,0,0,480,0.6344,0.0,0,7.02,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,4_step_down,hysteresis,720,6.0,0,0,0,0,0,0.0,0.0,0,0.782,10.83,0.0,0,16.0,16.0,1,45.4,90.9,pass
Llama2-7B,4_step_down,greedy,720,6.0,1,0,0,0,0,0.0,0.0,0,0.688,10.83,263644.3,16,16.0,16.0,2,45.4,90.9,
Llama2-7B,4_step_down,static,720,6.0,0,0,0,0,0,0.0,0.0,0,0.782,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,5_slow_ramp,hysteresis,720,6.0,1,1,0,0,61,0.0046,0.0,0,0.828,10.75,280039.0,30,1.0,16.0,2,45.4,90.9,pass
Llama2-7B,5_slow_ramp,greedy,720,6.0,6,0,0,0,6,0.0,0.0,0,0.679,10.93,1087397.9,94,1.0,21.0,7,45.4,90.9,
Llama2-7B,5_slow_ramp,static,720,6.0,0,0,0,0,717,0.8894,0.0,0,5.689,6.3,0.0,0,1.0,1.0,1,45.4,90.9,
Llama2-7B,7_diurnal,hysteresis,720,6.0,3,1,1,1,41,0.0029,0.0008,0,0.61,10.59,904272.8,77,1.0,16.0,4,45.4,90.9,pass
Llama2-7B,7_diurnal,greedy,720,6.0,6,0,0,0,3,0.0,0.0,0,0.529,10.62,1390900.5,126,1.0,16.0,4,45.4,90.9,
Llama2-7B,7_diurnal,static,720,6.0,0,0,0,0,324,0.2045,0.0,0,2.58,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,2_brief_spike,hysteresis,720,6.0,0,0,0,0,1,0.0057,0.0,0,0.463,10.83,0.0,0,16.0,16.0,1,45.4,90.9,pass
Llama2-7B,2_brief_spike,greedy,720,6.0,2,0,0,0,1,0.0057,0.0,0,0.464,10.83,432587.5,32,16.0,16.0,2,45.4,90.9,
Llama2-7B,2_brief_spike,static,720,6.0,0,0,0,0,1,0.0057,0.0,0,0.463,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,6_flapping,hysteresis,720,6.0,0,0,0,0,360,0.5177,0.0,0,5.802,10.83,0.0,0,16.0,16.0,1,45.4,90.9,pass
Llama2-7B,6_flapping,greedy,720,6.0,239,0,0,0,120,0.1726,0.0,0,2.297,10.83,46896534.2,3824,16.0,16.0,2,45.4,90.9,
Llama2-7B,6_flapping,static,720,6.0,0,0,0,0,360,0.5177,0.0,0,5.802,10.83,0.0,0,16.0,16.0,1,45.4,90.9,
Llama2-7B,8_spill_saturation,hysteresis,720,6.0,0,0,0,0,74,0.0089,0.379,421,0.926,10.83,0.0,0,16.0,16.0,1,45.4,90.9,pass
Llama2-7B,8_spill_saturation,greedy,720,6.0,1,0,0,0,68,0.0075,0.379,421,0.903,10.95,247166.5,15,16.0,21.0,2,45.4,90.9,
