Model,trace,t,lam,alpha,alpha_s,action,split,N_L,N_T,j,m,Tput_L,Tput_T,TTFT_L_s,req_lat_T_s,devices_draining,devices_kept,tokens_lost,target,load_L,load_T,served_by_L,served_by_T,spare_T,excess_L,spilled,unmet,eff_ttft_s,served_total,cap_L,cap_T,derate,ledger,ledger_lat,shadow,draining_now,kv_slack_L,kv_slack_T
Llama2-7B,1_steady,30.0,6383.025000000001,0.3,0.3,PROVISION,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,60.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,90.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,120.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,150.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,180.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,210.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,240.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,270.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
Llama2-7B,1_steady,300.0,6383.025000000001,0.3,0.3,HOLD,4xTP4/N_T16,16.0,16.0,4.0,4.0,2158.3,6239.1,0.458,10.832,0,,0.0,,1914.9075,4468.1175,1914.9075,4468.1175,1770.9825,0.0,0.0,0.0,0.458,6383.025000000001,2158.3,6239.1,1.0,0.0,0.0,,False,25.725,3.812
