Model,mode,N_L,N_T,TP_per_replica,Tput_L,TTFT_L_s,Tput_T,TTFT_T_cent,TTFT_T_packed,idle_T,system_tput,cap_floor
Llama2-7B,none,0,32,0,0.0,,0.0,,,0,0.0,1
Llama2-7B,single,2,30,2,418.8,0.91,5794.2,24.422,14.732,14,6212.9,1
Llama2-7B,single,4,28,4,499.2,0.743,5794.2,24.422,16.117,12,6293.4,1
Llama2-7B,single,6,26,6,513.0,0.722,5794.2,24.422,17.501,10,6307.2,1
Llama2-7B,single,8,24,8,553.4,0.656,5794.2,24.422,18.885,8,6347.6,1
Llama2-7B,dp_k2,16,16,8,1106.8,0.656,5794.2,24.422,24.422,0,6901.0,1
Llama2-7B,dp_k3,24,8,8,1660.2,0.656,3000.3,47.329,47.329,0,4660.5,1
Llama2-7B,dp_k4,32,0,8,2213.6,0.656,0.0,,,0,2213.6,1
Llama2-13B,none,0,32,0,0.0,,0.0,,,0,0.0,2
Llama2-13B,single,2,30,2,250.4,1.53,4105.4,42.627,32.802,10,4355.9,2
Llama2-13B,single,4,28,4,302.7,1.226,4105.4,42.627,34.767,8,4408.1,2
Llama2-13B,single,6,26,6,329.7,1.102,4105.4,42.627,36.732,6,4435.2,2
Llama2-13B,single,8,24,8,335.0,1.085,4105.4,42.627,38.697,4,4440.5,2
Llama2-13B,single,10,22,10,358.8,0.989,4105.4,42.627,40.662,2,4464.2,2
Llama2-13B,dp_k2,20,12,10,717.6,0.989,2114.9,82.858,72.625,2,2832.5,2
Llama2-13B,dp_k3,30,2,10,1076.4,0.989,0.0,,,0,1076.4,2
Llama2-70B,none,0,32,0,0.0,,0.0,,,0,0.0,10
Llama2-70B,single,10,22,10,100.4,3.416,955.8,357.461,336.675,2,1056.3,10
Llama2-70B,single,12,20,12,101.6,3.363,955.8,357.461,357.461,0,1057.4,10
Llama2-70B,single,14,18,14,102.9,3.301,715.1,477.652,417.884,2,818.1,10
Llama2-70B,single,16,16,16,108.0,3.087,715.1,477.652,477.652,0,823.1,10
Llama2-70B,dp_k2,32,0,16,215.9,3.087,0.0,,,0,215.9,10
