Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,req_lat_T_cent_s,packing_gain_pct,cpb_ceil,cpb_floor,idle_T,kv_slack_L,kv_slack_T,C_max_4096_T,C_need_T,saturated,alpha_req,alpha_tok,lambda_tok_s,load_L,load_T,lambda_max,headroom_ratio,ttft_bar_s,meets_load,meets_kv,unsaturated,in_eps_band,selectable,is_best
Llama2-7B,1,31,1,1,335.4,6239.1,6574.5,0.782,6.299,10.832,42.3,16,32,15,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,True
Llama2-7B,2,30,2,1,670.8,6239.1,6909.9,0.782,6.602,10.832,39.5,16,32,14,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,2,30,1,2,451.1,6239.1,6690.3,0.562,6.602,10.832,39.5,16,32,14,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,3,29,3,1,1006.2,6239.1,7245.3,0.782,6.904,10.832,36.7,16,32,13,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,3,29,1,3,494.9,6239.1,6734.1,0.507,6.904,10.832,36.7,16,32,13,17.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,4,1,1341.6,6239.1,7580.7,0.782,7.206,10.832,33.9,16,32,12,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,2,2,902.3,6239.1,7141.4,0.562,7.206,10.832,33.9,16,32,12,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,1,4,539.6,6239.1,6778.7,0.458,7.206,10.832,33.9,16,32,12,25.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,5,27,5,1,1677.0,6239.1,7916.1,0.782,7.508,10.832,31.1,16,32,11,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,5,27,1,5,548.1,6239.1,6787.3,0.45,7.508,10.832,31.1,16,32,11,33.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,6,26,6,1,2012.4,6239.1,8251.5,0.782,7.81,10.832,28.2,16,32,10,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,3,2,1353.4,6239.1,7592.6,0.562,7.81,10.832,28.2,16,32,10,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,2,3,989.9,6239.1,7229.0,0.507,7.81,10.832,28.2,16,32,10,17.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,1,6,555.1,6239.1,6794.2,0.445,7.81,10.832,28.2,16,32,10,41.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,7,25,7,1,2347.8,6239.1,8586.9,0.782,8.113,10.832,25.4,16,32,9,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,7,25,1,7,554.5,6239.1,6793.6,0.446,8.113,10.832,25.4,16,32,9,49.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,8,24,8,1,2683.2,6239.1,8922.3,0.782,8.415,10.832,22.6,16,32,8,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,8,24,4,2,1804.6,6239.1,8043.7,0.562,8.415,10.832,22.6,16,32,8,9.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,8,24,2,4,1079.2,6239.1,7318.3,0.458,8.415,10.832,22.6,16,32,8,25.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,8,24,1,8,598.9,6239.1,6838.0,0.404,8.415,10.832,22.6,16,32,8,57.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,True,True,False
Llama2-7B,9,23,9,1,3018.6,6239.1,9257.7,0.782,8.717,10.832,19.8,16,32,7,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,9,23,3,3,1484.8,6239.1,7724.0,0.507,8.717,10.832,19.8,16,32,7,17.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
Llama2-7B,9,23,1,9,600.9,6239.1,6840.1,0.402,8.717,10.832,19.8,16,32,7,65.725,3.812,122.0,32,True,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,False,True,False,False
Llama2-7B,10,22,10,1,3354.0,6239.1,9593.1,0.782,9.019,10.832,16.9,16,32,6,1.725,3.812,122.0,32,False,0.05,0.05,609.3,30.5,578.8,6567.5,10.779,0.4848,True,True,True,False,True,False
