Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,TTFT_L_s,TTFT_L_no_prefill_sampling_s,req_lat_L_s,Tput_T,Tput_T_cent,req_lat_T_packed_s,req_lat_T_cent_s,ttft_T_packed_s,system_tput,idle_T,cpb_ceil,cpb_floor,n_ceil,n_floor,hetero_T,packing_gain_pct,KV_free_per_block_MiB,KV_free_per_L_device_GiB,C_max_4096_T,C_max_mean_T,C_need_T,kv_slack_T,C_max_4096_L,C_need_L,kv_slack_L,kv_feasible,saturated,valid,invalid_reason,cap_floor,TP_sat,min_cpb,prompt_fraction
Llama2-7B,0,31,0,0,0.0,,,,6239.1,6239.1,6.299,10.832,0.772,6239.1,15,16,32,1,30,True,42.3,7806.0,,122.0,236.5,32,3.812,,,,True,False,True,,1,8,5,0.125
Llama2-7B,1,31,1,1,335.4,0.782,0.734,6.297,6239.1,6239.1,6.299,10.832,0.772,6574.5,15,16,32,1,30,True,42.3,7806.0,3.45,122.0,236.5,32,3.812,1.7,1.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,2,30,2,1,670.8,0.782,0.734,6.297,6239.1,6239.1,6.602,10.832,0.807,6909.9,14,16,32,2,28,True,39.5,7806.0,3.45,122.0,236.5,32,3.812,3.4,2.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,2,30,1,2,451.1,0.562,0.514,4.681,6239.1,6239.1,6.602,10.832,0.807,6690.3,14,16,32,2,28,True,39.5,7806.0,9.72,122.0,236.5,32,3.812,9.7,1.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,3,29,3,1,1006.2,0.782,0.734,6.297,6239.1,6239.1,6.904,10.832,0.842,7245.3,13,16,32,3,26,True,36.7,7806.0,3.45,122.0,236.5,32,3.812,5.2,3.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,3,29,1,3,494.9,0.507,0.459,4.267,6239.1,6239.1,6.904,10.832,0.842,6734.1,13,16,32,3,26,True,36.7,7806.0,11.82,122.0,236.5,32,3.812,17.7,1.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,4,28,4,1,1341.6,0.782,0.734,6.297,6239.1,6239.1,7.206,10.832,0.877,7580.7,12,16,32,4,24,True,33.9,7806.0,3.45,122.0,236.5,32,3.812,6.9,4.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,4,28,2,2,902.3,0.562,0.514,4.681,6239.1,6239.1,7.206,10.832,0.877,7141.4,12,16,32,4,24,True,33.9,7806.0,9.72,122.0,236.5,32,3.812,19.4,2.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,4,28,1,4,539.6,0.458,0.41,3.914,6239.1,6239.1,7.206,10.832,0.877,6778.7,12,16,32,4,24,True,33.9,7806.0,12.86,122.0,236.5,32,3.812,25.7,1.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,5,27,5,1,1677.0,0.782,0.734,6.297,6239.1,6239.1,7.508,10.832,0.912,7916.1,11,16,32,5,22,True,31.1,7806.0,3.45,122.0,236.5,32,3.812,8.6,5.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,5,27,1,5,548.1,0.45,0.402,3.853,6239.1,6239.1,7.508,10.832,0.912,6787.3,11,16,32,5,22,True,31.1,7806.0,13.49,122.0,236.5,32,3.812,33.7,1.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,6,26,6,1,2012.4,0.782,0.734,6.297,6239.1,6239.1,7.81,10.832,0.947,8251.5,10,16,32,6,20,True,28.2,7806.0,3.45,122.0,236.5,32,3.812,10.3,6.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,6,26,3,2,1353.4,0.562,0.514,4.681,6239.1,6239.1,7.81,10.832,0.947,7592.6,10,16,32,6,20,True,28.2,7806.0,9.72,122.0,236.5,32,3.812,29.2,3.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,6,26,2,3,989.9,0.507,0.459,4.267,6239.1,6239.1,7.81,10.832,0.947,7229.0,10,16,32,6,20,True,28.2,7806.0,11.82,122.0,236.5,32,3.812,35.4,2.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,6,26,1,6,555.1,0.445,0.397,3.805,6239.1,6239.1,7.81,10.832,0.947,6794.2,10,16,32,6,20,True,28.2,7806.0,13.91,122.0,236.5,32,3.812,41.7,1.0,41.725,True,False,True,,1,8,5,0.125
Llama2-7B,7,25,7,1,2347.8,0.782,0.734,6.297,6239.1,6239.1,8.113,10.832,0.982,8586.9,9,16,32,7,18,True,25.4,7806.0,3.45,122.0,236.5,32,3.812,12.1,7.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,7,25,1,7,554.5,0.446,0.398,3.809,6239.1,6239.1,8.113,10.832,0.982,6793.6,9,16,32,7,18,True,25.4,7806.0,14.21,122.0,236.5,32,3.812,49.7,1.0,49.725,True,False,True,,1,8,5,0.125
Llama2-7B,8,24,8,1,2683.2,0.782,0.734,6.297,6239.1,6239.1,8.415,10.832,1.017,8922.3,8,16,32,8,16,True,22.6,7806.0,3.45,122.0,236.5,32,3.812,13.8,8.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,8,24,4,2,1804.6,0.562,0.514,4.681,6239.1,6239.1,8.415,10.832,1.017,8043.7,8,16,32,8,16,True,22.6,7806.0,9.72,122.0,236.5,32,3.812,38.9,4.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,8,24,2,4,1079.2,0.458,0.41,3.914,6239.1,6239.1,8.415,10.832,1.017,7318.3,8,16,32,8,16,True,22.6,7806.0,12.86,122.0,236.5,32,3.812,51.4,2.0,25.725,True,False,True,,1,8,5,0.125
Llama2-7B,8,24,1,8,598.9,0.404,0.356,3.527,6239.1,6239.1,8.415,10.832,1.017,6838.0,8,16,32,8,16,True,22.6,7806.0,14.43,122.0,236.5,32,3.812,57.7,1.0,57.725,True,False,True,,1,8,5,0.125
Llama2-7B,9,23,9,1,3018.6,0.782,0.734,6.297,6239.1,6239.1,8.717,10.832,1.052,9257.7,7,16,32,9,14,True,19.8,7806.0,3.45,122.0,236.5,32,3.812,15.5,9.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,9,23,3,3,1484.8,0.507,0.459,4.267,6239.1,6239.1,8.717,10.832,1.052,7724.0,7,16,32,9,14,True,19.8,7806.0,11.82,122.0,236.5,32,3.812,53.2,3.0,17.725,True,False,True,,1,8,5,0.125
Llama2-7B,9,23,1,9,600.9,0.402,0.354,3.515,6239.1,6239.1,8.717,10.832,1.052,6840.1,7,16,32,9,14,True,19.8,7806.0,14.61,122.0,236.5,32,3.812,65.7,1.0,65.725,True,True,True,,1,8,5,0.125
Llama2-7B,10,22,10,1,3354.0,0.782,0.734,6.297,6239.1,6239.1,9.019,10.832,1.087,9593.1,6,16,32,10,12,True,16.9,7806.0,3.45,122.0,236.5,32,3.812,17.2,10.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,5,2,2255.7,0.562,0.514,4.681,6239.1,6239.1,9.019,10.832,1.087,8494.9,6,16,32,10,12,True,16.9,7806.0,9.72,122.0,236.5,32,3.812,48.6,5.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,2,5,1096.2,0.45,0.402,3.853,6239.1,6239.1,9.019,10.832,1.087,7335.4,6,16,32,10,12,True,16.9,7806.0,13.49,122.0,236.5,32,3.812,67.4,2.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,10,22,1,10,596.0,0.406,0.358,3.544,6239.1,6239.1,9.019,10.832,1.087,6835.1,6,16,32,10,12,True,16.9,7806.0,14.74,122.0,236.5,32,3.812,73.7,1.0,73.725,True,True,True,,1,8,5,0.125
