Model,devices,cfg,N_L,N_T,k,TP,lat_TTFT_s,eff_lat_s,batch_lat_s,batch_tput,total_tput,served_total,queued,spill_frac,unmet_frac,feasible,kind,lambda,alpha
Llama2-7B,32,3xTP8/N_T8,24,8,3,8,0.404,0.404,20.89,3234.5,5031.1,5031.1,191.4,0.0,0.0,False,dda,5222.5,0.3
Llama2-7B,32,4xTP6/N_T8,24,8,4,6,0.445,0.445,20.89,3234.5,5454.8,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,3xTP7/N_T11,21,11,3,7,0.446,0.446,16.56,3991.7,5655.1,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,5xTP5/N_T7,25,7,5,5,0.45,0.45,25.11,2453.6,5194.2,5194.2,28.3,0.0,0.0,False,dda,5222.5,0.3
Llama2-7B,32,4xTP4/N_T16,16,16,4,4,0.458,0.458,10.83,6239.1,8397.4,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,6xTP4/N_T8,24,8,6,4,0.458,0.458,20.89,3234.5,6472.0,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,7xTP3/N_T11,21,11,7,3,0.507,0.507,16.56,3991.7,7456.3,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,8xTP3/N_T8,24,8,8,3,0.507,0.507,20.89,3234.5,7194.0,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,8xTP2/N_T16,16,16,8,2,0.562,0.562,10.83,6239.1,9848.3,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,11xTP2/N_T10,22,10,11,2,0.562,0.562,17.99,3234.5,8197.1,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,12xTP2/N_T8,24,8,12,2,0.562,0.562,20.89,3234.5,8648.3,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,13xTP2/N_T6,26,6,13,2,0.562,0.562,29.65,2052.2,7917.1,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,16xTP1/N_T16,16,16,16,1,0.782,0.782,10.83,6239.1,11605.5,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,17xTP1/N_T15,17,15,17,1,0.782,0.782,12.1,3991.7,9693.5,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,21xTP1/N_T11,21,11,21,1,0.782,0.782,16.56,3991.7,11035.1,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,22xTP1/N_T10,22,10,22,1,0.782,0.782,17.99,3234.5,10613.3,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
Llama2-7B,32,24xTP1/N_T8,24,8,24,1,0.782,0.782,20.89,3234.5,11284.1,5222.5,0.0,0.0,0.0,True,dda,5222.5,0.3
