Model,devices,cfg,pp,tp,lat_TTFT_s,eff_lat_s,batch_lat_s,total_tput,served_total,queued,spill_frac,unmet_frac,feasible,kind,lambda,alpha
Llama2-7B,32,PP2/TP16,2,16,0.3978,0.3978,3.49,1210.9,1210.9,4011.5,0.0,0.7681,False,static32,5222.5,0.3
Llama2-7B,32,PP1/TP32,1,32,0.4013,0.4013,3.51,601.5,601.5,4621.0,0.0,0.8848,False,static32,5222.5,0.3
Llama2-7B,32,PP4/TP8,4,8,0.4036,0.4036,3.53,2395.5,2395.5,2827.0,0.0,0.5413,False,static32,5222.5,0.3
Llama2-7B,32,PP8/TP4,8,4,0.4576,0.4576,3.91,4316.7,4316.7,905.8,0.0,0.1734,False,static32,5222.5,0.3
Llama2-7B,32,PP16/TP2,16,2,0.562,0.562,4.68,7218.4,5222.5,0.0,0.0,0.0,True,static32,5222.5,0.3
Llama2-7B,32,PP32/TP1,32,1,0.7181,0.7181,5.87,11505.4,5222.5,0.0,0.0,0.0,True,static32,5222.5,0.3
Llama2-7B,8,PP1/TP8,1,8,0.4036,0.4036,3.53,598.9,598.9,4623.6,0.0,0.8853,False,native,5222.5,0.3
Llama2-7B,8,PP2/TP4,2,4,0.4576,0.4576,3.91,1079.2,1079.2,4143.3,0.0,0.7934,False,native,5222.5,0.3
Llama2-7B,8,PP4/TP2,4,2,0.562,0.562,4.68,1804.6,1804.6,3417.9,0.0,0.6545,False,native,5222.5,0.3
Llama2-7B,8,PP8/TP1,8,1,0.7821,0.7821,6.3,2683.2,2683.2,2539.3,0.0,0.4862,False,native,5222.5,0.3
Llama2-7B,8,PP32/TP1,32,1,2.478,2.478,20.89,3234.5,3234.5,1988.0,0.0,0.3807,False,native,5222.5,0.3
Llama2-13B,32,PP1/TP32,1,32,0.5875,0.5875,5.3,398.6,398.6,2310.4,0.0,0.8528,False,static32,2709.0,0.3
Llama2-13B,32,PP2/TP16,2,16,0.5974,0.5974,5.36,787.6,787.6,1921.5,0.0,0.7093,False,static32,2709.0,0.3
Llama2-13B,32,PP4/TP8,4,8,0.6674,0.6674,5.83,1450.3,1450.3,1258.8,0.0,0.4647,False,static32,2709.0,0.3
Llama2-13B,32,PP8/TP4,8,4,0.7555,0.7555,6.46,2617.3,2617.3,91.7,0.0,0.0339,False,static32,2709.0,0.3
Llama2-13B,32,PP40/TP1,40,1,2.3622,2.3622,19.19,4402.4,2709.0,0.0,0.0,0.0,True,static32,2709.0,0.3
Llama2-13B,20,PP1/TP20,1,20,0.5978,0.5978,5.37,393.6,393.6,2315.4,0.0,0.8547,False,native,2709.0,0.3
Llama2-13B,20,PP2/TP10,2,10,0.6075,0.6075,5.43,778.0,778.0,1931.1,0.0,0.7128,False,native,2709.0,0.3
Llama2-13B,20,PP4/TP5,4,5,0.6921,0.6921,6.02,1404.2,1404.2,1304.9,0.0,0.4817,False,native,2709.0,0.3
Llama2-13B,20,PP5/TP4,5,4,0.7555,0.7555,6.46,1635.8,1635.8,1073.2,0.0,0.3962,False,native,2709.0,0.3
Llama2-13B,20,PP10/TP2,10,2,0.9458,0.9458,7.83,2696.2,2696.2,12.9,0.0,0.0048,False,native,2709.0,0.3
Llama2-13B,20,PP20/TP1,20,1,1.3672,1.3672,10.87,3886.2,2709.0,0.0,0.0,0.0,True,native,2709.0,0.3
Llama2-13B,20,PP40/TP1,40,1,2.3622,2.3622,19.19,4402.4,2709.0,0.0,0.0,0.0,True,native,2709.0,0.3
Llama2-70B,32,PP1/TP32,1,32,1.809,1.809,17.46,120.9,120.9,383.6,0.0,0.7603,False,static32,504.5,0.3
Llama2-70B,32,PP2/TP16,2,16,1.8907,1.8907,18.0,234.6,234.6,269.9,0.0,0.535,False,static32,504.5,0.3
Llama2-70B,32,PP4/TP8,4,8,2.1356,2.1356,19.62,430.6,430.6,73.9,0.0,0.1466,False,static32,504.5,0.3
Llama2-70B,32,PP8/TP4,8,4,2.7011,2.7011,23.5,719.1,504.5,0.0,0.0,0.0,True,static32,504.5,0.3
Llama2-70B,32,PP16/TP2,16,2,3.8394,3.8394,31.36,1077.4,504.5,0.0,0.0,0.0,True,static32,504.5,0.3
Llama2-70B,32,PP80/TP1,80,1,17.8201,17.8201,134.97,1251.9,504.5,0.0,0.0,0.0,True,static32,504.5,0.3
