Model,alpha,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_short_s,bottleneck
Llama2-7B,0.02,2,30,5912.4,418.8,5794.2,0.91,PoolT
Llama2-7B,0.03,2,30,5973.4,418.8,5794.2,0.91,PoolT
Llama2-7B,0.04,2,30,6035.6,418.8,5794.2,0.91,PoolT
Llama2-7B,0.05,2,30,6099.1,418.8,5794.2,0.91,PoolT
Llama2-7B,0.06,2,30,6164.0,418.8,5794.2,0.91,PoolT
Llama2-7B,0.07,4,28,6230.3,499.2,5794.2,0.743,PoolT
Llama2-7B,0.08,6,26,6298.0,513.0,5794.2,0.722,PoolT
Llama2-7B,0.09,12,20,6237.6,561.4,5794.2,0.644,PoolL
Llama2-7B,0.1,12,20,5613.8,561.4,5794.2,0.644,PoolL
Llama2-7B,0.11,12,20,5103.5,561.4,5794.2,0.644,PoolL
Llama2-7B,0.12,12,20,4678.2,561.4,5794.2,0.644,PoolL
Llama2-7B,0.13,12,20,4318.3,561.4,5794.2,0.644,PoolL
Llama2-7B,0.14,12,20,4009.9,561.4,5794.2,0.644,PoolL
Llama2-7B,0.15,12,20,3742.5,561.4,5794.2,0.644,PoolL
Llama2-7B,0.16,22,10,3570.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.17,22,10,3360.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.18,22,10,3173.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.19,22,10,3006.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.2,22,10,2856.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.21,22,10,2720.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.22,22,10,2596.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.23,22,10,2483.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.24,22,10,2380.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.25,22,10,2285.0,571.3,3000.3,0.629,PoolL
Llama2-7B,0.26,22,10,2197.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.27,22,10,2115.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.28,22,10,2040.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.29,22,10,1969.8,571.3,3000.3,0.629,PoolL
Llama2-7B,0.3,22,10,1904.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.31,22,10,1842.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.32,22,10,1785.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.33,22,10,1731.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.34,22,10,1680.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.35,22,10,1632.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.36,22,10,1586.8,571.3,3000.3,0.629,PoolL
Llama2-7B,0.37,22,10,1543.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.38,22,10,1503.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.39,22,10,1464.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.4,22,10,1428.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.41,22,10,1393.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.42,22,10,1360.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.43,22,10,1328.5,571.3,3000.3,0.629,PoolL
Llama2-7B,0.44,22,10,1298.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.45,22,10,1269.4,571.3,3000.3,0.629,PoolL
Llama2-7B,0.46,22,10,1241.8,571.3,3000.3,0.629,PoolL
Llama2-7B,0.47,22,10,1215.4,571.3,3000.3,0.629,PoolL
Llama2-7B,0.48,22,10,1190.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.49,22,10,1165.8,571.3,3000.3,0.629,PoolL
Llama2-7B,0.5,22,10,1142.5,571.3,3000.3,0.629,PoolL
Llama2-7B,0.51,22,10,1120.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.52,22,10,1098.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.53,22,10,1077.8,571.3,3000.3,0.629,PoolL
Llama2-7B,0.54,22,10,1057.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.55,22,10,1038.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.56,22,10,1020.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.57,22,10,1002.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.58,22,10,984.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.59,22,10,968.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.6,22,10,952.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.61,22,10,936.5,571.3,3000.3,0.629,PoolL
Llama2-7B,0.62,22,10,921.4,571.3,3000.3,0.629,PoolL
Llama2-7B,0.63,22,10,906.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.64,22,10,892.6,571.3,3000.3,0.629,PoolL
Llama2-7B,0.65,22,10,878.8,571.3,3000.3,0.629,PoolL
