Model,motion,policy,alpha_min,alpha_max,reconfigs,grow_B,grow_C,shrinks,breakeven,spill_frac,unmet_frac,eff_TTFT_s,tokens_lost,distinct_splits,N_L_range,lambda,spike_ticks,period_h,expectation
Llama2-7B,diurnal,hysteresis,0.05,0.55,4,2,0,2,4/4,0.0032,0.0008,0.606,1198324.0,5,1-24,5222.5,,24.0,pass
Llama2-7B,steady,hysteresis,0.3,0.3,0,0,0,0,-,0.0,0.0,0.458,0.0,1,16-16,5222.5,,24.0,pass
Llama2-7B,step up,hysteresis,0.05,0.55,1,1,0,0,1/1,0.0022,0.0004,0.794,280039.0,2,1-16,5222.5,,24.0,pass
Llama2-7B,step down,hysteresis,0.05,0.55,1,0,0,1,1/1,0.0,0.0001,0.595,433468.0,2,1-16,5222.5,,24.0,pass
Llama2-7B,brief spike,hysteresis,0.05,0.55,0,0,0,0,-,0.0034,0.0,0.801,0.0,1,1-1,5222.5,1.0,24.0,pass
Llama2-7B,slow ramp,hysteresis,0.05,0.55,1,1,0,0,1/1,0.0002,0.0,0.783,280039.0,2,1-16,5222.5,,24.0,pass
Llama2-7B,flapping,hysteresis,0.05,0.55,0,0,0,0,-,0.8096,0.0,5.249,0.0,1,1-1,5222.5,,0.0505,pass
Llama2-7B,random walk,hysteresis,0.02,0.415,5,2,0,3,5/5,0.001,0.0006,0.544,1918352.0,3,1-16,5222.5,,24.0,pass
Llama2-7B,brief spike (LONG >T_grow),hysteresis,0.05,0.55,2,1,0,1,2/2,0.0159,0.0035,0.87,774372.0,2,1-16,5222.5,18.0,24.0,pass
Llama2-7B,flapping (SLOW 12h half-period),hysteresis,0.05,0.55,3,2,0,1,3/3,0.0056,0.0012,0.813,1054411.0,2,1-16,5222.5,1.0,24.0,pass
Llama2-13B,diurnal,hysteresis,0.05,0.55,6,3,0,3,5/6,0.0065,0.0031,1.034,1359925.0,6,2-20,2709.0,,24.0,pass
Llama2-13B,steady,hysteresis,0.3,0.3,0,0,0,0,-,0.0,0.0,0.755,0.0,1,12-12,2709.0,,24.0,pass
Llama2-13B,step up,hysteresis,0.05,0.55,1,1,0,0,1/1,0.0027,0.0003,0.985,184827.0,2,2-12,2709.0,,24.0,pass
Llama2-13B,step down,hysteresis,0.05,0.55,1,0,0,1,1/1,0.0,0.0,0.946,238158.0,2,2-12,2709.0,,24.0,pass
Llama2-13B,brief spike,hysteresis,0.05,0.55,0,0,0,0,-,0.0062,0.0,1.032,0.0,1,2-2,2709.0,2.0,24.0,pass
Llama2-13B,slow ramp,hysteresis,0.05,0.55,1,1,0,0,1/1,0.0005,0.0,0.953,184827.0,2,2-12,2709.0,,24.0,pass
Llama2-13B,flapping,hysteresis,0.05,0.55,0,0,0,0,-,0.7508,0.0,11.345,0.0,1,2-2,2709.0,,0.0703,pass
Llama2-13B,random walk,hysteresis,0.02,0.415,9,4,0,5,9/9,0.0113,0.0021,1.01,1926231.0,3,2-12,2709.0,,24.0,pass
Llama2-13B,brief spike (LONG >T_grow),hysteresis,0.05,0.55,2,1,0,1,2/2,0.0193,0.0023,1.223,422985.0,2,2-12,2709.0,25.0,24.0,pass
Llama2-13B,flapping (SLOW 12h half-period),hysteresis,0.05,0.55,3,2,0,1,3/3,0.007,0.0008,1.046,607812.0,2,2-12,2709.0,2.0,24.0,pass
Llama2-70B,diurnal,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,steady,hysteresis,0.3,0.3,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,step up,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,step down,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,brief spike,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,13.0,24.0,pass
Llama2-70B,slow ramp,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,flapping,hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,0.452,pass
Llama2-70B,random walk,hysteresis,0.02,0.415,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,,24.0,pass
Llama2-70B,brief spike (LONG >T_grow),hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,162.0,24.0,pass
Llama2-70B,flapping (SLOW 12h half-period),hysteresis,0.05,0.55,0,0,0,0,-,0.0,0.0,2.143,0.0,1,9-9,181.3,13.0,24.0,pass
