Model,series,cfg,devices,TTFT_s,tput
Llama2-7B,native,PP1/TP8,8,0.656420079125,553.3929928981811
Llama2-7B,native,PP2/TP4,8,0.7427183237499999,998.4578949610166
Llama2-7B,native,PP4/TP2,8,0.90987284725,1675.0934644803335
Llama2-7B,native,PP8/TP1,8,1.26202407025,2505.623580776806
Llama2-7B,native,PP32/TP1,8,4.021721086875,3000.336182238341
Llama2-7B,cent32static,PP1/TP32,32,0.6526618054999999,555.7685552342095
Llama2-7B,cent32static,PP2/TP16,32,0.647102249875,1118.644524439133
Llama2-7B,cent32static,PP4/TP8,32,0.656420079125,2213.5719715927244
Llama2-7B,cent32static,PP8/TP4,32,0.7427183237499999,3993.8315798440663
Llama2-7B,cent32static,PP16/TP2,32,0.90987284725,6700.373857921334
Llama2-7B,cent32static,PP32/TP1,32,1.2107697305625,10368.843912275133
Llama2-7B,dda_alpha,a=0.02,32,0.91,5912.4
Llama2-7B,dda_alpha,a=0.03,32,0.91,5973.4
Llama2-7B,dda_alpha,a=0.04,32,0.91,6035.6
Llama2-7B,dda_alpha,a=0.05,32,0.91,6099.2
Llama2-7B,dda_alpha,a=0.06,32,0.91,6164.0
Llama2-7B,dda_alpha,a=0.07,32,0.743,6230.3
Llama2-7B,dda_alpha,a=0.08,32,0.722,6298.0
Llama2-7B,dda_alpha,a=0.09,32,0.656,6367.3
Llama2-7B,dda_alpha,a=0.10,32,0.656,6438.0
Llama2-7B,dda_alpha,a=0.11,32,0.656,6510.3
Llama2-7B,dda_alpha,a=0.12,32,0.656,6584.3
Llama2-7B,dda_alpha,a=0.13,32,0.656,6660.0
Llama2-7B,dda_alpha,a=0.14,32,0.656,6737.4
Llama2-7B,dda_alpha,a=0.15,32,0.656,6816.7
Llama2-7B,dda_alpha,a=0.16,32,0.656,6897.9
Llama2-7B,dda_alpha,a=0.17,32,0.656,6510.6
Llama2-7B,dda_alpha,a=0.18,32,0.656,6148.9
Llama2-7B,dda_alpha,a=0.19,32,0.656,5825.3
Llama2-7B,dda_alpha,a=0.20,32,0.656,5534.0
Llama2-7B,dda_alpha,a=0.21,32,0.656,5270.5
Llama2-7B,dda_alpha,a=0.22,32,0.656,5030.9
Llama2-7B,dda_alpha,a=0.23,32,0.656,4812.2
Llama2-7B,dda_alpha,a=0.24,32,0.656,4611.7
Llama2-7B,dda_alpha,a=0.25,32,0.656,4427.2
Llama2-7B,dda_alpha,a=0.26,32,0.656,4256.9
Llama2-7B,dda_alpha,a=0.27,32,0.656,4110.0
Llama2-7B,dda_alpha,a=0.28,32,0.656,4167.1
Llama2-7B,dda_alpha,a=0.29,32,0.656,4225.8
Llama2-7B,dda_alpha,a=0.30,32,0.656,4286.1
Llama2-7B,dda_alpha,a=0.31,32,0.656,4348.3
Llama2-7B,dda_alpha,a=0.32,32,0.656,4412.2
Llama2-7B,dda_alpha,a=0.33,32,0.656,4478.1
Llama2-7B,dda_alpha,a=0.34,32,0.656,4545.9
Llama2-7B,dda_alpha,a=0.35,32,0.656,4615.8
Llama2-7B,dda_alpha,a=0.36,32,0.656,4611.7
Llama2-7B,dda_alpha,a=0.37,32,0.656,4487.0
Llama2-7B,dda_alpha,a=0.38,32,0.656,4368.9
Llama2-7B,dda_alpha,a=0.39,32,0.656,4256.9
Llama2-7B,dda_alpha,a=0.40,32,0.656,4150.5
Llama2-7B,dda_alpha,a=0.41,32,0.656,4049.3
Llama2-7B,dda_alpha,a=0.42,32,0.656,3952.9
Llama2-7B,dda_alpha,a=0.43,32,0.656,3860.9
Llama2-7B,dda_alpha,a=0.44,32,0.656,3773.2
Llama2-7B,dda_alpha,a=0.45,32,0.656,3689.3
Llama2-7B,dda_alpha,a=0.46,32,0.656,3609.1
Llama2-7B,dda_alpha,a=0.47,32,0.656,3532.3
Llama2-7B,dda_alpha,a=0.48,32,0.656,3458.8
Llama2-7B,dda_alpha,a=0.49,32,0.656,3388.2
Llama2-7B,dda_alpha,a=0.50,32,0.656,3320.4
Llama2-7B,dda_alpha,a=0.51,32,0.656,3255.3
Llama2-7B,dda_alpha,a=0.52,32,0.656,3192.7
Llama2-7B,dda_alpha,a=0.53,32,0.656,3132.5
Llama2-7B,dda_alpha,a=0.54,32,0.656,3074.4
Llama2-7B,dda_alpha,a=0.55,32,0.656,3018.5
Llama2-7B,dda_alpha,a=0.56,32,0.656,2964.6
Llama2-7B,dda_alpha,a=0.57,32,0.656,2912.6
Llama2-7B,dda_alpha,a=0.58,32,0.656,2862.4
Llama2-7B,dda_alpha,a=0.59,32,0.656,2813.9
Llama2-7B,dda_alpha,a=0.60,32,0.656,2767.0
Llama2-7B,dda_alpha,a=0.61,32,0.656,2721.6
Llama2-7B,dda_alpha,a=0.62,32,0.656,2677.7
Llama2-7B,dda_alpha,a=0.63,32,0.656,2635.2
Llama2-7B,dda_alpha,a=0.64,32,0.656,2594.1
Llama2-7B,dda_alpha,a=0.65,32,0.656,2554.2
Llama2-7B,dda_alpha,a=0.66,32,0.656,2515.5
Llama2-7B,dda_alpha,a=0.67,32,0.656,2477.9
Llama2-7B,dda_alpha,a=0.68,32,0.656,2441.5
Llama2-7B,dda_alpha,a=0.69,32,0.656,2406.1
Llama2-7B,dda_alpha,a=0.70,32,0.656,2371.7
Llama2-7B,dda_alpha,a=0.71,32,0.656,2338.3
Llama2-7B,dda_alpha,a=0.72,32,0.656,2305.8
Llama2-7B,dda_alpha,a=0.73,32,0.656,2274.2
Llama2-7B,dda_alpha,a=0.74,32,0.656,2243.5
Llama2-7B,dda_alpha,a=0.75,32,0.656,2213.6
Llama2-7B,dda_alpha,a=0.76,32,0.656,2184.5
Llama2-7B,dda_alpha,a=0.77,32,0.656,2156.1
Llama2-7B,dda_alpha,a=0.78,32,0.656,2128.5
Llama2-7B,dda_alpha,a=0.79,32,0.656,2101.5
Llama2-7B,dda_alpha,a=0.80,32,0.656,2075.2
Llama2-7B,dda_alpha,a=0.81,32,0.656,2049.6
Llama2-7B,dda_alpha,a=0.82,32,0.656,2024.6
Llama2-7B,dda_alpha,a=0.83,32,0.656,2000.2
Llama2-7B,dda_alpha,a=0.84,32,0.656,1976.4
Llama2-7B,dda_alpha,a=0.85,32,0.656,1953.2
Llama2-7B,dda_alpha,a=0.86,32,0.656,1930.5
Llama2-7B,dda_alpha,a=0.87,32,0.656,1908.3
Llama2-7B,dda_alpha,a=0.88,32,0.656,1886.6
Llama2-7B,dda_alpha,a=0.89,32,0.656,1865.4
Llama2-7B,dda_alpha,a=0.90,32,0.656,1844.7
Llama2-7B,dda_alpha,a=0.91,32,0.656,1824.4
Llama2-7B,dda_alpha,a=0.92,32,0.656,1804.6
Llama2-7B,dda_alpha,a=0.93,32,0.656,1785.2
Llama2-7B,dda_alpha,a=0.94,32,0.656,1766.2
Llama2-7B,dda_alpha,a=0.95,32,0.656,1747.6
Llama2-7B,dda_alpha,a=0.96,32,0.656,1729.4
Llama2-7B,dda_alpha,a=0.97,32,0.656,1711.5
Llama2-7B,dda_alpha,a=0.98,32,0.656,1694.1
Llama2-7B,dda_poolL,Pool L,32,0.6289725682499999,571.2506522730625
Llama2-7B,dda_poolL,Pool L,32,0.6311698338749999,569.7764996857445
Llama2-7B,dda_poolL,Pool L,32,0.6384940526249999,564.9199894619599
Llama2-7B,dda_poolL,Pool L,32,0.6439132285,561.3823593543514
Llama2-7B,dda_poolL,Pool L,32,0.647102249875,559.3222622195665
Llama2-7B,dda_poolL,Pool L,32,0.654182328,554.8048738331165
Llama2-7B,dda_poolL,Pool L,32,0.6551512938749999,554.1925890324138
Llama2-7B,dda_poolL,Pool L,32,0.656420079125,553.3929928981811
Llama2-7B,dda_poolL,Pool L,32,0.660285843625,550.9716331868783
Llama2-7B,dda_poolL,Pool L,32,0.6605780663749999,550.7895006256488
Llama2-7B,dda_poolL,Pool L,32,0.7218626097499999,513.0204829922725
Llama2-7B,dda_poolL,Pool L,32,0.7427183237499999,499.2289474805083
Llama2-7B,dda_poolL,Pool L,32,0.90987284725,418.7733661200834
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,2.101985278875,5794.164295255538
Llama2-7B,dda_poolT,Pool T,32,3.290968574875001,3707.145771132198
Llama2-7B,dda_poolT,Pool T,32,3.290968574875001,3707.145771132198
Llama2-7B,dda_poolT,Pool T,32,4.021721086875,3000.336182238341
Llama2-7B,dda_poolT,Pool T,32,4.021721086875,3000.336182238341
Llama2-7B,dda_poolT,Pool T,32,6.373422078875,1904.8451882387772
Llama2-13B,native,PP1/TP20,20,0.9733998218437501,362.96438156728914
Llama2-13B,native,PP2/TP10,20,0.9888719568437497,717.5805249990468
Llama2-13B,native,PP4/TP5,20,1.1242784439374998,1296.0111291952344
Llama2-13B,native,PP5/TP4,20,1.2256604158749997,1513.4816565684755
Llama2-13B,native,PP10/TP2,20,1.53024657615625,2504.3553406085634
