Model,N_L,TP_sat,Tput_single,TTFT_single,k_replicas,N_L_used,Tput_dp,TTFT_dp,dp_gain
Llama2-7B,2,8,418.8,0.91,0,0,0.0,0.656,0.0
Llama2-7B,4,8,499.2,0.743,0,0,0.0,0.656,0.0
Llama2-7B,6,8,513.0,0.722,0,0,0.0,0.656,0.0
Llama2-7B,8,8,553.4,0.656,1,8,553.4,0.656,1.0
Llama2-7B,10,8,550.8,0.661,1,8,553.4,0.656,1.0
Llama2-7B,12,8,561.4,0.644,1,8,553.4,0.656,0.99
Llama2-7B,14,8,554.2,0.655,1,8,553.4,0.656,1.0
Llama2-7B,16,8,559.3,0.647,2,16,1106.8,0.656,1.98
Llama2-7B,18,8,554.8,0.654,2,16,1106.8,0.656,1.99
Llama2-7B,20,8,551.0,0.66,2,16,1106.8,0.656,2.01
Llama2-7B,22,8,571.3,0.629,2,16,1106.8,0.656,1.94
Llama2-7B,24,8,569.8,0.631,3,24,1660.2,0.656,2.91
Llama2-7B,26,8,564.9,0.638,3,24,1660.2,0.656,2.94
Llama2-13B,2,10,250.4,1.53,0,0,0.0,0.989,0.0
Llama2-13B,4,10,302.7,1.226,0,0,0.0,0.989,0.0
Llama2-13B,6,10,329.7,1.102,0,0,0.0,0.989,0.0
Llama2-13B,8,10,335.0,1.085,0,0,0.0,0.989,0.0
Llama2-13B,10,10,358.8,0.989,1,10,358.8,0.989,1.0
Llama2-13B,12,10,358.7,0.989,1,10,358.8,0.989,1.0
Llama2-13B,14,10,365.7,0.963,1,10,358.8,0.989,0.98
Llama2-13B,16,10,363.1,0.973,1,10,358.8,0.989,0.99
Llama2-13B,18,10,366.8,0.959,1,10,358.8,0.989,0.98
Llama2-13B,20,10,363.0,0.973,2,20,717.6,0.989,1.98
Llama2-13B,22,10,361.0,0.981,2,20,717.6,0.989,1.99
Llama2-70B,2,16,62.7,6.205,0,0,0.0,3.087,0.0
Llama2-70B,4,16,83.0,4.383,0,0,0.0,3.087,0.0
Llama2-70B,6,16,90.8,3.905,0,0,0.0,3.087,0.0
Llama2-70B,8,16,99.1,3.479,0,0,0.0,3.087,0.0
Llama2-70B,10,16,100.4,3.416,0,0,0.0,3.087,0.0
Llama2-70B,12,16,101.6,3.363,0,0,0.0,3.087,0.0
Llama2-70B,14,16,102.9,3.301,0,0,0.0,3.087,0.0
Llama2-70B,16,16,108.0,3.087,1,16,108.0,3.087,1.0
