Model,N_T,cpb_ceil,cpb_floor,n_ceil,n_floor,used,idle,Tput_T,TTFT_long_cent,TTFT_long_packed,lat_improve_pct,hetero,packed_ok
Llama2-7B,6,5,6,2,4,6,0,1904.8,74.391,74.391,0.0,True,False
Llama2-7B,8,8,8,8,0,8,0,3000.3,47.329,47.329,0.0,False,True
Llama2-7B,10,8,10,2,8,8,2,3000.3,47.329,40.593,14.1,True,True
Llama2-7B,12,10,16,8,4,11,1,3707.1,38.163,34.801,8.8,True,True
Llama2-7B,14,10,16,4,10,11,3,3707.1,38.163,29.759,22.0,True,True
Llama2-7B,16,16,16,16,0,16,0,5794.2,24.422,24.422,0.0,False,True
Llama2-7B,18,16,32,14,4,16,2,5794.2,24.422,23.038,5.6,True,True
Llama2-7B,20,16,32,12,8,16,4,5794.2,24.422,21.654,11.3,True,True
Llama2-7B,22,16,32,10,12,16,6,5794.2,24.422,20.269,16.9,True,True
Llama2-7B,24,16,32,8,16,16,8,5794.2,24.422,18.885,22.6,True,True
Llama2-7B,26,16,32,6,20,16,10,5794.2,24.422,17.501,28.2,True,True
Llama2-7B,28,16,32,4,24,16,12,5794.2,24.422,16.117,33.9,True,True
Llama2-7B,30,16,32,2,28,16,14,5794.2,24.422,14.732,39.5,True,True
Llama2-13B,10,8,8,10,0,10,0,2114.9,82.858,82.858,0.0,False,True
Llama2-13B,12,8,10,4,8,10,2,2114.9,82.858,72.625,12.3,True,True
Llama2-13B,14,10,16,12,2,14,0,2663.6,65.56,63.303,3.4,True,True
Llama2-13B,16,10,16,8,8,14,2,2663.6,65.56,56.531,13.8,True,True
Llama2-13B,18,10,16,4,14,14,4,2663.6,65.56,49.759,24.1,True,True
Llama2-13B,20,16,16,20,0,20,0,4105.4,42.627,42.627,0.0,False,True
Llama2-13B,22,16,32,18,4,20,2,4105.4,42.627,40.662,4.6,True,True
Llama2-13B,24,16,32,16,8,20,4,4105.4,42.627,38.697,9.2,True,True
Llama2-13B,26,16,32,14,12,20,6,4105.4,42.627,36.732,13.8,True,True
Llama2-13B,28,16,32,12,16,20,8,4105.4,42.627,34.767,18.4,True,True
Llama2-13B,30,16,32,10,20,20,10,4105.4,42.627,32.802,23.0,True,True
Llama2-70B,16,6,6,16,0,16,0,715.1,477.652,477.652,0.0,False,True
Llama2-70B,18,6,8,8,10,16,2,715.1,477.652,417.884,12.5,True,True
Llama2-70B,20,8,8,20,0,20,0,955.8,357.461,357.461,0.0,False,True
Llama2-70B,22,8,10,14,8,20,2,955.8,357.461,336.675,5.8,True,True
Llama2-70B,24,8,10,8,16,20,4,955.8,357.461,315.89,11.6,True,True
Llama2-70B,26,8,10,2,24,20,6,955.8,357.461,295.104,17.4,True,True
Llama2-70B,28,10,16,24,4,27,1,1185.1,287.804,277.558,3.6,True,True
Llama2-70B,30,10,16,20,10,27,3,1185.1,287.804,262.188,8.9,True,True
