Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,6,1,6,32,32,128,0.0630295,0.022336172256469725,0.003287,0.08865267225646972,0.0256675,7.267881280517578,137.5916806292116,840.4194411405604,166.67184436267164,1.0
Llama2-70B,6,1,6,32,32,256,0.0651245,0.022336172256469725,0.0041670000000000006,0.09162767225646973,0.0256675,7.5058812805175785,133.22885916083175,843.2441527012081,161.85232759967604,1.0
Llama2-70B,6,1,6,32,32,384,0.0672685,0.022336172256469725,0.005046999999999999,0.09465167225646971,0.0256675,7.747801280517577,129.06887564534915,846.0699686789479,157.21882617401684,1.0
Llama2-70B,6,1,6,32,32,512,0.0694125,0.022336172256469725,0.005927,0.09767567225646973,0.0256675,7.989721280517578,125.16081160909026,848.8957846566876,152.8715621567959,1.0
Llama2-70B,6,1,6,32,32,640,0.0715415,0.022336172256469725,0.006806999999999999,0.10068467225646971,0.0256675,8.230441280517578,121.50016820691225,851.7212284652763,148.81593698505,1.0
Llama2-70B,6,1,6,32,32,768,0.0736365,0.022336172256469725,0.007686999999999999,0.10365967225646971,0.0256675,8.46844128051758,118.08548549549386,854.5459400259241,145.06154217438444,1.0
Llama2-70B,6,1,6,32,32,896,0.0757805,0.022336172256469725,0.008567,0.10668367225646973,0.0256675,8.71036128051758,114.805800562681,857.3717560036638,141.42354497589483,1.0
Llama2-70B,6,1,6,32,32,1024,0.0779245,0.022336172256469725,0.009446999999999999,0.10970767225646971,0.0256675,8.952281280517578,111.7033713156726,860.1975719814033,137.98573811532378,1.0
Llama2-70B,6,1,6,32,32,1152,0.085232,0.022336172256469725,0.010327,0.11789517225646973,0.0256675,9.60728128051758,104.08771959533242,872.1750950192987,127.911919088385,1.0
Llama2-70B,6,1,6,32,32,1280,0.087327,0.022336172256469725,0.011207,0.12087017225646972,0.0256675,9.845281280517579,101.57150126110248,874.9998065799462,125.24760477572029,1.0
Llama2-70B,6,1,6,32,32,1408,0.089471,0.022336172256469725,0.012087,0.12389417225646972,0.0256675,10.08720128051758,99.13552552296146,877.8256225576857,122.64108238391292,1.0
Llama2-70B,6,1,6,32,32,1536,0.091615,0.022336172256469725,0.012967,0.12691817225646973,0.0256675,10.32912128051758,96.81365653883495,880.6514385354253,120.15655713248726,1.0
