Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,22,80,1,32,8,128,0.821845,0.0014614998626708985,0.013148,0.836454499862671,0.4731,67.53945998901368,1184.4927396963674,630.9923226046516,767.7753379343449,0.9090909090909091
Llama2-70B,22,80,1,32,8,256,0.831905,0.0014614998626708985,0.016668000000000002,0.8500344998626709,0.4731,68.62585998901368,1165.7413111151864,633.3695113352792,761.3483646994297,0.9090909090909091
Llama2-70B,22,80,1,32,8,384,0.841965,0.0014614998626708985,0.020187999999999998,0.8636144998626708,0.4731,69.71225998901367,1147.5743292873826,635.7467000659066,755.0749735035379,0.9090909090909091
Llama2-70B,22,80,1,32,8,512,0.852025,0.0014614998626708985,0.023708,0.8771944998626708,0.4731,70.79865998901367,1129.964889341326,638.123888796534,748.9497242411121,0.9090909090909091
Llama2-70B,22,80,1,32,8,640,0.862085,0.0014614998626708985,0.027227999999999995,0.8907744998626709,0.4731,71.88505998901368,1112.8877128603153,640.5010775271611,742.9674307372951,0.9090909090909091
Llama2-70B,22,80,1,32,8,768,0.872145,0.0014614998626708985,0.030747999999999998,0.9043544998626708,0.4731,72.97145998901367,1096.3190268091735,642.8782662577887,737.1231461027564,0.9090909090909091
Llama2-70B,22,80,1,32,8,896,0.882205,0.0014614998626708985,0.034268,0.9179344998626708,0.4731,74.05785998901368,1080.2364531174385,645.2554549884161,731.4121490905353,0.9090909090909091
Llama2-70B,22,80,1,32,8,1024,0.892265,0.0014614998626708985,0.037787999999999995,0.9315144998626709,0.4731,75.14425998901368,1064.618907840682,647.6326437190431,725.8299313758168,0.9090909090909091
Llama2-70B,22,80,1,32,8,1152,0.907569,0.0014614998626708985,0.041308,0.9503384998626708,0.4731,76.65017998901368,1043.7027024785389,652.3848236152871,718.8266937448136,0.9090909090909091
Llama2-70B,22,80,1,32,8,1280,0.917629,0.0014614998626708985,0.044828,0.9639184998626709,0.4731,77.73657998901368,1029.1165370448018,654.7620123459145,713.5367477988535,0.9090909090909091
Llama2-70B,22,80,1,32,8,1408,0.927689,0.0014614998626708985,0.048348,0.9774984998626708,0.4731,78.82297998901367,1014.93244750643,657.1392010765416,708.3615318027289,0.9090909090909091
Llama2-70B,22,80,1,32,8,1536,0.937749,0.0014614998626708985,0.051868,0.9910784998626709,0.4731,79.90937998901369,1001.1340347153084,659.5163898071688,703.2973533505967,0.9090909090909091
Llama2-70B,22,80,1,32,8,1664,0.947809,0.0014614998626708985,0.055388,1.0046584998626709,0.4731,80.99577998901368,987.7057793733359,661.8935785377965,698.3406768007017,0.9090909090909091
Llama2-70B,22,80,1,32,8,1792,0.957869,0.0014614998626708985,0.058908,1.0182384998626708,0.4731,82.08217998901367,974.6329838060788,664.2707672684238,693.4881150433135,0.9090909090909091
Llama2-70B,22,80,1,32,8,1920,0.967929,0.0014614998626708985,0.062428,1.031818499862671,0.4731,83.16857998901368,961.9017182999609,666.6479559990514,688.7364217820223,0.9090909090909091
Llama2-70B,22,80,1,32,8,2048,0.977989,0.0014614998626708985,0.06594799999999999,1.0453984998626709,0.4731,84.25497998901368,949.4987715910859,669.0251447296787,684.0824842914167,0.9090909090909091
Llama2-70B,22,80,1,32,8,2176,0.993293,0.0014614998626708985,0.069468,1.0642224998626708,0.4731,85.76089998901368,932.8260315627323,673.7773246259221,678.3268628953616,0.9090909090909091
Llama2-70B,22,80,1,32,8,2304,1.003353,0.0014614998626708985,0.07298800000000001,1.077802499862671,0.4731,86.84729998901368,921.1570193905869,676.1545133565495,673.8949436106229,0.9090909090909091
Llama2-70B,22,80,1,32,8,2432,1.013413,0.0014614998626708985,0.076508,1.0913824998626709,0.4731,87.93369998901368,909.7763429719788,678.5317020871769,669.5510143319425,0.9090909090909091
Llama2-70B,22,80,1,32,8,2560,1.023473,0.0014614998626708985,0.080028,1.104962499862671,0.4731,89.02009998901369,898.6734457709339,680.9088908178043,665.2924804247931,0.9090909090909091
Llama2-70B,22,80,1,32,8,2688,1.033533,0.0014614998626708985,0.08354800000000001,1.118542499862671,0.4731,90.10649998901368,887.8382803655016,683.2860795484316,661.1168482752184,0.9090909090909091
Llama2-70B,22,80,1,32,8,2816,1.043593,0.0014614998626708985,0.087068,1.1321224998626709,0.4731,91.19289998901368,877.261278121848,685.6632682790588,657.021720420757,0.9090909090909091
