Model,mode,N,TP,pp,b_ceil,b_floor,n_ceil,n_floor,cpb_ceil,cpb_floor,tok_cent,tok_real,lat_improve_pct,tput_cent,tput_real,tput_ratio_real_cent,tput_vs_baseline,lat_vs_baseline,sbl_src,note
Llama2-13B,MP,16,1,16,3,2,8,8,32,32,5.6398,5.6398,0.0,2909.5945,2424.6621,0.8333,0.5906,0.5618,cent,heterogeneous
Llama2-13B,MP,16,2,8,5,5,8,0,32,32,4.142,4.142,0.0,2003.4843,2003.4843,1.0,0.488,0.4126,cent,uniform
Llama2-13B,MP,16,4,4,10,10,4,0,32,32,3.4567,3.4567,0.0,1210.7853,1210.7853,1.0,0.2949,0.3443,cent,uniform
Llama2-13B,MP,16,8,2,20,20,2,0,32,32,3.1364,3.1364,0.0,670.0308,670.0308,1.0,0.1632,0.3124,cent,uniform
Llama2-13B,MP,16,16,1,40,40,1,0,32,32,2.9176,2.9176,0.0,363.1312,363.1312,1.0,0.0885,0.2906,cent,uniform
Llama2-13B,MP,20,1,20,2,2,20,0,32,32,5.6398,5.6398,0.0,3636.9931,3636.9931,1.0,0.8859,0.5618,cent,uniform
Llama2-13B,MP,20,2,10,4,4,10,0,32,32,4.142,4.142,0.0,2504.3553,2504.3553,1.0,0.61,0.4126,cent,uniform
Llama2-13B,MP,20,4,5,8,8,5,0,32,32,3.4567,3.4567,0.0,1513.4817,1513.4817,1.0,0.3687,0.3443,cent,uniform
Llama2-13B,MP,20,5,4,10,10,4,0,32,32,3.2474,3.2474,0.0,1296.0111,1296.0111,1.0,0.3157,0.3235,cent,uniform
Llama2-13B,MP,20,10,2,20,20,2,0,32,32,2.949,2.949,0.0,717.5805,717.5805,1.0,0.1748,0.2937,cent,uniform
Llama2-13B,MP,20,20,1,40,40,1,0,32,32,2.9188,2.9188,0.0,362.9644,362.9644,1.0,0.0884,0.2907,cent,uniform
Llama2-13B,MP,32,1,32,2,1,8,24,32,32,5.6398,5.6398,0.0,5819.189,3636.9931,0.625,0.8859,0.5618,cent,heterogeneous
Llama2-13B,MP,32,2,16,3,2,8,8,32,32,4.142,4.142,0.0,4006.9685,3339.1405,0.8333,0.8133,0.4126,cent,heterogeneous
Llama2-13B,MP,32,4,8,5,5,8,0,32,32,3.4567,3.4567,0.0,2421.5707,2421.5707,1.0,0.5898,0.3443,cent,uniform
Llama2-13B,MP,32,8,4,10,10,4,0,32,32,3.1364,3.1364,0.0,1340.0615,1340.0615,1.0,0.3264,0.3124,cent,uniform
Llama2-13B,MP,32,16,2,20,20,2,0,32,32,2.9176,2.9176,0.0,726.2623,726.2623,1.0,0.1769,0.2906,cent,uniform
