Model,Type,PP,TP,TTFT_short,system_tput,N_L,N_T,Tput_L,Tput_T,is_best_gain
Llama2-7B,static,1.0,8.0,0.5339428655833333,643.7881061593116,,,,,
Llama2-7B,static,2.0,4.0,0.6322040008333333,1126.3012238395554,,,,,
Llama2-7B,static,4.0,2.0,0.8153090451666666,1822.063566614493,,,,,
Llama2-7B,static,8.0,1.0,1.1993613098333333,2608.6293736474013,,,,,
Llama2-7B,static,32.0,1.0,4.013555939305555,3005.0137438295624,,,,,
Llama2-7B,ideal_corner,,,0.5339428655833333,3005.0137438295624,,,,,
Llama2-7B,dda,,,0.8153090451666666,2362.2426053144554,2.0,6.0,455.5158916536232,1906.726713660832,True
Llama2-13B,static,1.0,20.0,0.862097854767857,396.3363147749992,,,,,
Llama2-13B,static,2.0,10.0,0.8817552576250001,779.9469455571059,,,,,
Llama2-13B,static,4.0,5.0,1.0261862285357142,1386.9904706768953,,,,,
Llama2-13B,static,5.0,4.0,1.129922413642857,1609.1375552453806,,,,,
Llama2-13B,static,10.0,2.0,1.4490262218035714,2612.2461757238484,,,,,
Llama2-13B,static,20.0,1.0,2.150382366535715,3710.2354545009803,,,,,
Llama2-13B,static,40.0,1.0,3.8150573006785717,4111.441216820385,,,,,
Llama2-13B,ideal_corner,,,0.862097854767857,4111.441216820385,,,,,
Llama2-13B,dda,,,1.4490262218035714,2927.329291321062,2.0,18.0,261.2246175723849,2666.104673748677,False
Llama2-13B,dda,,,1.129922413642857,2987.932184797753,4.0,16.0,321.82751104907607,2666.104673748677,False
Llama2-13B,dda,,,1.0028136239821428,3019.7304840613565,6.0,14.0,353.6258103126792,2666.104673748677,True
Llama2-13B,dda,,,0.9821099041607144,2477.0668474744725,8.0,12.0,360.6019889849606,2116.464858489512,False
Llama2-13B,dda,,,0.8817552576250001,2506.4383312680648,10.0,10.0,389.97347277855295,2116.464858489512,False
Llama2-70B,static,1.0,32.0,2.9559926860000005,111.29844523361437,,,,,
Llama2-70B,static,2.0,16.0,3.0866982395,215.9248935150034,,,,,
Llama2-70B,static,4.0,8.0,3.4786077162499995,396.53156885437943,,,,,
Llama2-70B,static,8.0,4.0,4.38345870225,664.0548834830627,,,,,
Llama2-70B,static,16.0,2.0,6.204703297375,1002.5263557150612,,,,,
Llama2-70B,static,32.0,1.0,9.9406925930625,1339.8434021267963,,,,,
Llama2-70B,static,80.0,1.0,28.740734970374994,1185.1364872703944,,,,,
Llama2-70B,ideal_corner,,,2.9559926860000005,1339.8434021267963,,,,,
Llama2-70B,dda,,,4.38345870225,1268.1433477057772,4.0,28.0,83.00686043538283,1185.1364872703944,False
Llama2-70B,dda,,,3.4786077162499995,1054.9424934469184,8.0,24.0,99.13289221359486,955.8096012333236,False
Llama2-70B,dda,,,3.36255060025,1057.3920532427935,12.0,20.0,101.58245200946996,955.8096012333236,True
Llama2-70B,dda,,,3.0866982395,823.0751877069447,16.0,16.0,107.96244675750172,715.1127409494429,False
