Panel,Model,Config,short_TTFT,Throughput,Source,Pipeline parallelism,Tensor parallelism,long_Tput
a,Llama2-7B,lat-optimal,0.5339428655833333,643.7881061593116,proc_seqlen4096_prefill,,,
a,Llama2-7B,tput-optimal,4.013555939305555,3005.0137438295624,proc_seqlen4096_prefill,,,
a,Llama2-13B,lat-optimal,0.862097854767857,396.3363147749992,proc_seqlen4096_prefill,,,
a,Llama2-13B,tput-optimal,3.815057300678572,4111.441216820385,proc_seqlen4096_prefill,,,
a,Llama2-70B,lat-optimal,2.9559926860000005,111.29844523361436,proc_seqlen4096_prefill,,,
a,Llama2-70B,tput-optimal,9.9406925930625,1339.8434021267965,proc_seqlen4096_prefill,,,
c,Llama2-7B,,0.5339428655833333,,sim_threshold512,1.0,8.0,598.4995371934425
c,Llama2-7B,,0.6322040008333333,,sim_threshold512,2.0,4.0,1055.4839349060908
c,Llama2-7B,,0.8153090451666666,,sim_threshold512,4.0,2.0,1723.206069633077
c,Llama2-7B,,1.1993613098333331,,sim_threshold512,8.0,1.0,2493.220509006737
c,Llama2-7B,,4.013555939305555,,sim_threshold512,32.0,1.0,2850.5482024687904
c,Llama2-13B,,0.862097854767857,,sim_threshold512,1.0,20.0,367.9487438160365
c,Llama2-13B,,0.8817552576250001,,sim_threshold512,2.0,10.0,725.158254063774
c,Llama2-13B,,1.0261862285357142,,sim_threshold512,4.0,5.0,1299.6373852747545
c,Llama2-13B,,1.129922413642857,,sim_threshold512,5.0,4.0,1514.987073563091
c,Llama2-13B,,1.4490262218035714,,sim_threshold512,10.0,2.0,2480.3066984040174
c,Llama2-13B,,2.150382366535715,,sim_threshold512,20.0,1.0,3559.780407016127
c,Llama2-13B,,3.815057300678572,,sim_threshold512,40.0,1.0,3931.4199687777077
c,Llama2-70B,,2.9559926860000005,,sim_threshold512,1.0,32.0,102.40034837134058
c,Llama2-70B,,3.0866982395,,sim_threshold512,2.0,16.0,199.2842707706744
c,Llama2-70B,,3.4786077162499995,,sim_threshold512,4.0,8.0,368.94073991553876
c,Llama2-70B,,4.38345870225,,sim_threshold512,8.0,4.0,625.2988994444388
c,Llama2-70B,,6.204703297375,,sim_threshold512,16.0,2.0,957.0386241251242
c,Llama2-70B,,9.9406925930625,,sim_threshold512,32.0,1.0,1295.7507846070814
c,Llama2-70B,,28.740734970374994,,sim_threshold512,80.0,1.0,1150.7837076321946
