PP,TP,seqlen,TTFT,Panel,Model
1,32,128,0.6929258515000002,b,Llama2-70B
2,16,128,0.725602239875,b,Llama2-70B
4,8,128,0.8235796090624999,b,Llama2-70B
8,4,128,1.0497923555625,b,Llama2-70B
16,2,128,1.50510350434375,b,Llama2-70B
32,1,128,2.439100828265625,b,Llama2-70B
80,1,128,7.013758462593749,b,Llama2-70B
1,32,256,1.4163157030000002,b,Llama2-70B
2,16,256,1.48166847975,b,Llama2-70B
4,8,256,1.6776232181249997,b,Llama2-70B
8,4,256,2.130048711125,b,Llama2-70B
16,2,256,3.0406710086875,b,Llama2-70B
32,1,256,4.908665656531251,b,Llama2-70B
80,1,256,14.1417646051875,b,Llama2-70B
1,32,384,2.1706713145000003,b,Llama2-70B
2,16,384,2.268700479625,b,Llama2-70B
4,8,384,2.5626325871875,b,Llama2-70B
8,4,384,3.2412708266875,b,Llama2-70B
16,2,384,4.6072042730312495,b,Llama2-70B
32,1,384,7.409196244796877,b,Llama2-70B
80,1,384,21.384090107781244,b,Llama2-70B
1,32,512,2.9559926860000005,b,Llama2-70B
2,16,512,3.0866982395,b,Llama2-70B
4,8,512,3.4786077162499995,b,Llama2-70B
8,4,512,4.38345870225,b,Llama2-70B
16,2,512,6.204703297375,b,Llama2-70B
32,1,512,9.9406925930625,b,Llama2-70B
80,1,512,28.740734970374994,b,Llama2-70B
1,32,640,3.7721262175,b,Llama2-70B
2,16,640,3.935508159375,b,Llama2-70B
4,8,640,4.4253950053125,b,Llama2-70B
8,4,640,5.5564587378125,b,Llama2-70B
16,2,640,7.833014481718748,b,Llama2-70B
32,1,640,12.536875021328123,b,Llama2-70B
80,1,640,36.17801983296874,b,Llama2-70B
1,32,768,4.618723749000001,b,Llama2-70B
2,16,768,4.8147820792500005,b,Llama2-70B
4,8,768,5.402646294375001,b,Llama2-70B
8,4,768,6.759922773374999,b,Llama2-70B
16,2,768,9.4917896660625,b,Llama2-70B
32,1,768,15.16352144959375,b,Llama2-70B
80,1,768,43.72950117556249,b,Llama2-70B
1,32,896,5.496287040500001,b,Llama2-70B
2,16,896,5.725021759125,b,Llama2-70B
4,8,896,6.410863343437501,b,Llama2-70B
8,4,896,7.994352568937501,b,Llama2-70B
16,2,896,11.181530610406249,b,Llama2-70B
32,1,896,17.821133637859376,b,Llama2-70B
80,1,896,51.39523019815624,b,Llama2-70B
1,32,1024,6.404816092000001,b,Llama2-70B
2,16,1024,6.666227199000001,b,Llama2-70B
4,8,1024,7.450046152499999,b,Llama2-70B
8,4,1024,9.259748124500002,b,Llama2-70B
16,2,1024,12.90223731475,b,Llama2-70B
32,1,1024,20.509711586125004,b,Llama2-70B
80,1,1024,59.17527858074999,b,Llama2-70B
1,32,1152,7.397185143500001,b,Llama2-70B
2,16,1152,7.691272638875001,b,Llama2-70B
4,8,1152,8.5730689615625,b,Llama2-70B
8,4,1152,10.6089836800625,b,Llama2-70B
16,2,1152,14.740657939093747,b,Llama2-70B
32,1,1152,23.31600345439063,b,Llama2-70B
80,1,1152,67.12334488334375,b,Llama2-70B
1,32,1280,8.420018195,b,Llama2-70B
2,16,1280,8.74678207875,b,Llama2-70B
4,8,1280,9.726555770625,b,Llama2-70B
8,4,1280,11.988683235625002,b,Llama2-70B
16,2,1280,16.6095425634375,b,Llama2-70B
32,1,1280,26.152759322656244,b,Llama2-70B
80,1,1280,75.1520511859375,b,Llama2-70B
1,32,1408,9.4738170065,b,Llama2-70B
2,16,1408,9.833257278625,b,Llama2-70B
4,8,1408,10.9110083396875,b,Llama2-70B
8,4,1408,13.3993485511875,b,Llama2-70B
16,2,1408,18.509392947781247,b,Llama2-70B
32,1,1408,29.02048095092188,b,Llama2-70B
80,1,1408,83.29495396853125,b,Llama2-70B
1,32,1536,10.558581578000002,b,Llama2-70B
2,16,1536,10.9506982385,b,Llama2-70B
4,8,1536,12.12642666875,b,Llama2-70B
