Model,N_total,N_L,N_T,TTFT_short,Tput_L,Tput_T,system_tput,TTFT_long,PIM_L,CXL_L,SLO_1s_short,SLO_5s_short
Llama2-13B,20,2,18,1.4490262218035714,261.2246175723849,2666.104673748677,2927.329291321062,65.50384612657143,0.054803500000000005,0.0074477834865025,False,True
Llama2-13B,20,4,16,1.129922413642857,321.82751104907607,2666.104673748677,2987.9321847977535,65.50384612657143,0.038690499999999996,0.0083929428536551,False,True
Llama2-13B,20,6,14,1.0028136239821428,353.62581031267916,2666.104673748677,3019.7304840613565,65.50384612657143,0.0324175,0.008622846483503,False,True
Llama2-13B,20,8,12,0.9821099041607143,360.6019889849606,2116.4648584895117,2477.0668474744725,82.80152241457142,0.0312285,0.0088442351640973,True,True
Llama2-13B,20,10,10,0.8817552576250001,389.97347277855295,2116.4648584895117,2506.4383312680648,82.80152241457142,0.0261445,0.0091337434387207,True,True
Llama2-70B,32,4,28,4.38345870225,83.00686043538283,1185.1364872703944,1268.1433477057772,287.80408008300003,0.07881875,0.0212930909729003,False,True
Llama2-70B,32,8,24,3.4786077162499995,99.13289221359486,955.8096012333235,1054.9424934469184,357.4605296921429,0.05548075,0.0227236024475097,False,True
Llama2-70B,32,12,20,3.3625506002499996,101.58245200946996,955.8096012333235,1057.3920532427935,357.4605296921429,0.05171674999999999,0.023677276763916,False,True
Llama2-70B,32,16,16,3.0866982395,107.96244675750171,715.1127409494429,823.0751877069447,477.6519606407143,0.044752749999999994,0.0239752999877929,False,True
Llama2-7B,8,2,6,0.8153090451666666,455.5158916536232,1906.726713660832,2362.2426053144554,74.32596281501587,0.037235500000000005,0.0038090618387858,True,True
